protID,gene,Tminus30_T0,T0_T15,T15_T30,T30_T45,T45_T60,T60_T90,T90_T150,T150_T210,T210_T330
P80870,yugI,0,0,1,0,0,0,0,1,0
A3F349,panB,0,0,0,0,1,1,0,0,0
O34746,fabHA,0,-1,0,0,0,0,0,0,1
P08750,dacA,0,-1,0,0,0,0,0,0,1
P45743,dhbB,0,0,0,0,0,0,0,0,0
O07600,fabHB,0,0,0,0,0,0,0,0,1
O34348,yfmC,0,-1,0,0,0,0,0,0,1
P17921,pheS,0,0,0,0,1,0,0,0,1
P55872,infC,0,0,0,0,0,0,0,1,0
P53557,bioB,0,0,0,0,0,0,0,0,1
P46899,rplR,0,0,0,0,0,0,0,0,1
P14577,rplP,0,0,0,0,0,0,0,0,1
Q03523,murE,0,-1,0,0,0,0,0,1,0
P15874,grpE,0,0,0,0,1,0,0,0,0
A3F364,dapB,0,-1,0,0,0,0,0,0,1
P39814,topA,0,0,0,0,0,0,0,0,1
P0CI73,glmS,0,-1,0,0,0,0,0,0,1
P20282,rpsM,0,0,0,0,0,1,0,0,1
O34894,ezrA,0,0,0,0,0,0,0,0,1
P50863,salA,0,0,0,0,0,0,0,0,1
Q02113,lytB,0,0,0,0,0,0,1,0,1
O34789,ydjI,0,0,0,0,0,0,0,0,1
O31760,rnjB,0,0,0,0,1,0,0,0,1
P23447,fliF,0,0,0,0,0,0,0,1,1
P20277,rplQ,0,-1,0,0,0,0,0,0,0
P04969,rpsK,0,0,0,0,0,0,0,0,1
P24073,fliY,0,0,-1,0,0,0,0,1,1
O34703,yjoB,0,0,0,0,0,0,0,0,1
P37580,fhuD,0,-1,0,0,0,1,0,0,0
P39802,cheW,0,0,0,0,0,0,0,1,0
P54941,yxeB,0,0,0,0,0,0,0,1,0
P71079,fabL,0,-1,0,0,1,0,0,0,0
P42085,xpt,0,0,0,1,0,0,0,0,1
P55873,rplT,0,0,-1,0,0,0,0,0,1
Q45598,yydD,0,0,0,0,0,0,0,0,1
P42924,rplW,0,0,0,0,0,0,0,0,1
P37455,ssbA,0,0,0,0,0,0,0,0,1
P42971,pbpC,0,0,0,0,0,0,0,0,1
P37437,rplI,0,0,0,1,0,1,0,1,0
P12041,purQ,0,0,0,1,1,0,0,0,0
P37811,atpH,0,0,0,0,0,0,1,0,1
P05657,rpmA,0,0,0,0,0,0,0,0,1
P21477,rpsT,0,-1,0,0,0,0,0,0,1
P39581,dltA,0,0,0,0,0,0,0,1,0
P39751,mbl,0,0,0,0,0,0,0,1,1
O31827,ppsE,0,0,0,0,0,0,0,0,1
P12874,rpsQ,0,0,0,0,0,1,0,0,0
P12875,rplN,0,0,0,0,0,0,0,0,1
P09339,citB,0,0,0,1,0,0,0,0,1
P35136,serA,0,-1,0,0,1,1,0,0,0
P39120,citZ,0,-1,0,0,0,0,0,0,1
P39148,glyA,0,0,0,1,0,0,0,0,0
P37887,cysK,0,-1,0,0,1,0,0,0,0
P54382,folD,0,-1,0,0,0,0,0,0,0
P37946,ilvA,0,0,0,1,1,1,0,0,1
P37253,ilvC,0,0,0,1,1,0,0,0,0
P12042,purL,0,0,0,1,0,0,0,0,0
P12048,purH,0,0,0,1,1,0,0,0,0
P51785,ilvD,0,-1,0,1,1,0,0,0,0
O32214,cysJ,0,0,0,0,0,0,1,0,1
P42319,yxjH,0,0,0,0,1,0,1,0,0
P12425,glnA,0,-1,0,1,1,0,0,0,0
P94565,leuA,0,0,0,0,1,1,0,0,1
P05645,leuB,0,0,0,0,1,0,0,0,0
P12047,purB,0,0,0,0,1,0,0,0,1
O31663,mtnK,0,0,0,1,1,0,1,0,1
P12039,purD,0,0,0,1,1,0,0,0,0
P42318,yxjG,0,0,-1,1,1,0,1,1,0
P12043,purM,0,0,0,1,1,0,0,0,0
P17865,ftsZ,0,0,0,1,1,0,0,0,0
P37251,ilvB,0,0,0,1,0,1,0,0,0
O31631,metI,0,0,0,0,0,0,1,0,0
P80875,yceD,0,0,0,0,1,0,0,0,0
O34833,yceH,0,0,0,0,0,0,0,1,0
P39576,ilvK,0,0,0,0,1,0,1,0,0
A3F3H2,aroF,0,-1,0,0,1,0,0,0,1
