ProtID,T0,T15,T30,T60,T90,T150,T210,T330
C0SP94,239,99,0,353,360,0,0,73
P37551,0,153,0,181,0,0,56,73
P05657,0,0,0,86,320,0,134,0
O34743,66,146,210,180,0,74,0,73
P0CI78,387,432,376,434,323,154,158,0
P54586,0,171,182,143,72,94,70,72
O34746,789,735,861,637,749,481,395,0
O34812,439,469,592,630,258,195,0,71
P21470,307,463,598,593,490,356,223,0
O34967,526,371,408,233,461,320,0,70
O32062,301,477,350,459,234,297,131,70
P37472,1029,1189,1134,1250,921,607,283,0
O34767,613,548,678,631,323,494,179,69
P54464,1257,967,1425,1507,1314,750,339,0
Q08313,293,0,377,402,603,503,232,68
P04969,884,789,858,644,634,739,263,0
P94424,434,535,766,662,706,580,214,67
P55872,369,315,470,507,394,286,0,67
P19465,366,283,364,462,276,0,0,67
Q45495,338,315,0,0,187,0,241,67
P54380,268,175,232,260,0,0,0,0
O32039,170,139,167,176,179,119,58,67
P49778,884,618,828,659,552,413,249,66
O34969,318,132,318,242,140,0,0,66
P32726,201,215,162,385,0,169,0,65
P31103,372,374,359,284,156,0,0,0
P42962,0,0,221,131,257,142,50,64
Q03222,433,331,403,494,270,330,171,0
P23966,225,166,174,168,0,0,28,63
P24137,545,0,604,581,521,359,103,62
P42182,366,233,0,531,341,140,186,62
P37942,209,185,278,209,204,214,141,62
P30949,313,312,401,398,366,194,232,61
P37437,821,859,650,781,663,619,223,60
O34656,110,235,185,178,0,0,0,60
P19947,2040,1746,2131,2271,1564,1352,417,0
O31632,251,386,313,308,386,183,77,58
P12045,0,0,0,0,75,0,83,58
O31498,0,0,131,329,223,0,53,0
O32229,667,469,524,560,706,503,186,56
O31593,257,459,341,320,342,0,132,0
O06734,265,271,439,697,332,446,277,0
O07631,826,803,950,834,610,562,156,0
P32396,0,663,441,472,433,344,136,54
A3F3A1,379,445,397,445,187,0,70,0
P21474,214,164,382,216,141,0,98,54
O34553,202,259,470,291,244,0,60,54
O34996,0,137,172,122,186,0,48,54
P39644,498,582,549,562,367,0,116,53
O31806,416,432,0,359,398,0,32,0
P54377,0,0,160,210,184,82,59,52
P46920,0,0,0,0,0,0,0,52
O06973,716,1325,1641,1482,974,469,245,51
P37570,0,0,0,237,234,0,0,51
P12043,0,189,316,288,0,178,101,51
P39793,0,0,0,319,361,0,190,0
P54537,417,509,614,444,440,0,140,50
Q07428,129,181,191,219,0,0,0,50
O34525,0,0,0,204,0,267,0,0
P26902,348,337,744,684,283,0,143,49
O31907,268,261,311,330,0,0,0,0
O35023,0,0,0,0,0,0,0,49
P37941,838,668,740,944,563,481,157,0
P31845,371,518,0,379,0,225,0,48
P30950,142,329,387,0,341,224,134,0
O34814,162,449,245,186,273,0,70,47
Q9R9I1,0,0,0,0,0,0,0,47
Q08311,0,0,0,0,0,0,0,47
P49786,1008,1063,1200,914,955,499,206,0
P0CI74,646,797,711,1201,1112,395,235,46
P71018,432,405,381,463,230,274,0,0
P28367,0,453,271,775,0,280,92,45
O34443,466,342,387,451,0,0,0,44
P54518,343,315,361,272,286,0,159,44
P96612,327,126,370,378,270,259,0,44
P37811,313,389,201,248,198,319,81,43
O31629,201,207,268,280,82,211,0,0
P54474,477,476,377,328,336,254,104,40
P80242,814,578,550,857,1030,552,253,0
O34305,441,414,799,663,495,507,157,0
P51777,0,210,0,359,254,0,117,0
P39762,1452,670,1135,418,248,145,66,37
P12044,207,341,357,202,161,116,60,36
O06012,0,0,256,373,409,283,317,36
P94463,923,701,668,662,721,408,185,0
P39645,668,471,509,462,287,160,74,35
O07513,529,289,421,312,393,248,112,0
P45872,434,654,639,526,883,0,103,34
O32053,378,288,564,494,0,0,140,34
P19670,323,0,0,381,200,0,0,34
P50848,222,121,272,77,0,0,0,34
O31625,196,379,331,353,0,0,104,32
Q01464,428,459,436,461,343,182,162,0
Q796Y8,0,126,191,214,94,0,0,0
O06998,240,256,205,258,109,0,0,0
P50743,719,495,936,682,484,246,151,0
Q08312,541,500,803,489,550,296,206,0
P13484,426,352,526,434,308,207,207,0
O34564,181,237,180,246,221,132,28,27
P16616,268,153,318,189,294,0,55,0
P37538,207,248,0,173,283,0,0,24
P54531,158,269,223,302,293,0,46,0
P12049,615,679,664,707,619,356,176,0
O34475,0,0,161,240,214,205,97,0
P52998,371,451,764,444,632,394,232,0
P54430,0,129,0,112,167,0,138,0
P46922,294,385,480,433,224,269,78,0
O32028,459,0,516,396,280,117,45,0
,260,410,224,249,200,219,37,20
