gene,t30,t60,t90,t120,t150
fabD,0,1,1,1,1
fabF,0,1,1,1,1
fabG,0,1,1,1,1
fabHA,0,1,1,1,1
fabHB,0,1,1,1,1
fabI,0,1,1,1,1
acpA,0,1,1,1,1
acpS,0,1,1,1,1
gpsA,0,1,1,1,1
cdsA,0,1,1,1,1
plsX,0,1,1,1,1
plsC,0,1,1,1,1
plsY,0,1,1,1,1
nudF,0,0,1,1,1
ispC,0,0,1,1,1
ispD,0,0,1,1,1
ispG,0,0,1,1,1
ispH,0,0,1,1,1
ispC,0,0,0,1,1
murAA,0,1,1,1,1
murB,0,0,1,1,1
murC,0,0,1,1,1
murD,0,1,1,1,1
murE,0,0,1,1,1
murF,0,0,1,1,1
murG,0,0,1,1,1
mraY,0,1,1,1,1
ddl,0,1,1,1,1
alr,0,0,1,1,1
racE,0,0,1,1,1
glmS,0,1,1,1,1
glmM,0,1,1,1,1
gcaD,0,0,1,1,1
patA,0,0,1,1,1
pbpA,0,1,1,1,1
dacA,0,1,1,1,1
pbpB,0,0,1,1,1
ponA,0,0,1,1,1
mreB,0,1,1,1,1
mreC,0,0,1,1,1
rodA,0,0,1,1,1
mbl,0,0,1,1,1
mreBH,0,0,1,1,1
ftsE,0,0,1,1,1
ftsX,0,0,1,1,1
ylaN,0,0,1,1,1
tagD,0,0,0,1,1
tagE,0,0,0,1,1
tagF,0,0,0,1,1
tagG,0,0,0,1,1
tagH,0,0,0,1,1
tagO,0,0,0,1,1
tagV,0,0,0,1,1
dltA,0,0,0,1,1
dltC,0,0,0,1,1
dltE,0,0,0,1,1
ltaS,0,0,1,1,1
dgkA,0,0,0,1,1
dgkB,0,0,0,1,1
walR,0,0,1,1,1
iseA,0,0,0,0,1
ymfH,1,1,1,1,1
pepf,1,1,1,1,1
ymfF,1,1,1,1,1
mlpA,1,1,1,1,1
clpP,1,1,1,1,1
ampS,1,1,1,1,1
ypwA,1,1,1,1,1
ftsH,1,1,1,1,1
clpX,1,1,1,1,1
clpC,1,1,1,1,1
lonA,0,1,1,1,1
htpX,0,0,1,1,1
clpY,0,0,1,1,1
clpE,0,0,0,1,1
pepA,0,0,0,1,1
mecA,0,0,0,0,1
ndh,0,1,1,1,1
cccA,0,1,1,1,1
qoxA,0,0,1,1,1
qoxB,0,0,1,1,1
ctaC,0,0,1,1,1
nfrA,1,1,1,1,1
trxA,1,1,1,1,1
trxB,1,1,1,1,1
yumC,1,1,1,1,1
