locus_tag,gene,Tminus30,Tminus15,T0,T15,T30,T60,T150,T330,Tminus30_Tminus15,Tminus15_T0,T0_T15,T15_T30,T30_T60,T60_T150,T150_T330
BSU36620,ywnB,-1.056391343,-1.083127966,-1.104177035,1.404610062,0.256276072,0.189509724,0.224156695,1.169143791,0,0,1,0,0,0,1
BSU16870,ymfI,-1.231639738,-0.800809005,-1.002610837,1.139162822,0.430682125,-0.404570894,0.464980853,1.404804675,0,0,1,0,0,0,0
BSU17490,ynzG,-1.23898076,-0.704948003,-1.214835285,1.153076543,0.618643099,0.149696577,-0.085570905,1.322918735,0,0,1,0,0,0,0
BSU15130,mraZ,-1.11427213,-0.984673904,-1.209890609,0.781746281,0.434625576,0.230777353,0.323079469,1.538607964,0,0,1,0,0,0,1
BSU06750,yefC,-1.182188262,-0.756157347,-1.346555357,0.862217073,0.054828766,0.366539484,0.591978344,1.4093373,0,0,1,0,0,0,0
BSU38340,ywbF,-1.051107746,-0.784325679,-1.195307132,0.961604805,0.141586245,0.053225199,0.179818968,1.69450534,0,0,1,0,0,0,1
BSU27490,yrrB,-1.190496365,-0.740547738,-1.387854504,0.926668286,0.131428575,0.401203659,0.516179141,1.343418946,0,0,1,0,0,0,0
BSU25800,yqcK,-1.081921965,-0.604731343,-1.361603415,1.265054674,0.160017178,0.041614272,0.186054926,1.395515674,0,0,1,0,0,0,0
BSU18480,proH,-1.17792323,-0.921466684,-1.16654677,0.888037534,0.301816725,-0.035821796,0.674174862,1.437729358,0,0,1,0,0,0,0
BSU39990,qdoR,-0.988240879,-0.707107174,-1.172076224,1.174169099,-0.103312234,0.17278026,-0.028366762,1.652153914,0,0,1,0,0,0,1
BSU13740,queE,-1.118185021,-0.738555081,-1.153333109,1.214255142,-0.158382199,-0.205429792,1.092434967,1.067195093,0,0,1,-1,0,1,0
BSU_RRNA_26,rrnA-5S,-1.108126682,-1.034512434,-1.241624637,1.09170791,0.116446834,0.301225768,0.706691786,1.168191454,0,0,1,0,0,0,0
BSU30460,ytrA,-1.1503032,-0.815889126,-1.135193061,1.225017912,0.271223887,-0.028887134,0.179688817,1.454341905,0,0,1,0,0,0,1
BSU16130,trmFO,-1.149480822,-0.998623206,-1.128072983,1.241157203,0.384615125,0.007727178,0.390500918,1.252176587,0,0,1,0,0,0,0
BSU_TRNA_79,trnE-Arg,-1.209929895,-0.927171353,-1.292144472,1.151723625,0.246924185,0.300933671,0.736542463,0.993121776,0,0,1,0,0,0,0
BSU04570,murF,-1.150014186,-0.89605951,-1.289339548,0.969635983,0.214112703,0.384342765,0.375390525,1.391931269,0,0,1,0,0,0,0
BSU27330,udk,-1.093156065,-0.994127043,-1.201501795,1.317365271,0.27236154,0.048024408,0.51069931,1.140334374,0,0,1,0,0,0,0
BSU24140,mmgD,-1.106251399,-0.490365065,-1.647500716,0.203116657,0.342533263,1.278354677,0.810940799,0.609171784,0,0,1,0,0,0,0
