locus,t0_copies_cell,t1_copies_cell,t2_copies_cell
BSU12280,4463,4667,4656
BSU12290,12500,5057,4628
BSU12410,2100,2316,3020
BSU12850,1095,655,852
BSU12980,521,488,1594
BSU13010,7137,2526,2076
BSU13240,1463,433,540
BSU14430,1144,528,1101
BSU14440,1264,715,2337
BSU14510,576,453,601
BSU14530,2768,4125,5056
BSU14560,1431,946,920
BSU13550,18041,9573,13862
BSU13560,13437,7764,10257
BSU13590,1922,468,600
BSU13620,7948,4612,3280
BSU14180,1626,976,2720
BSU14220,3440,2587,3904
BSU13860,1753,904,1448
BSU14940,3190,3479,9743
BSU15350,692,512,587
BSU15620,332,214,403
BSU15660,986,951,1224
BSU15840,223,110,104
BSU15880,490,412,729
BSU16590,1563,1140,1242
BSU17400,915,508,1277
BSU16845,1235,1144,2090
BSU18080,2857,1957,5104
BSU18530,400,425,894
BSU19170,674,411,432
BSU19550,7503,4446,5568
BSU19390,333,85,181
BSU21600,124,269,296
BSU21570,623,2218,5663
BSU21550,891,709,407
BSU20800,265,213,507
BSU20040,1955,982,668
BSU22880,16049,8407,8066
BSU22840,704,467,766
BSU21860,1485,1290,1324
BSU22470,343,419,618
BSU22460,443,291,366
BSU21680,547,230,144
BSU22080,2597,990,1616
BSU26230,2688,2756,3127
BSU25670,354,330,289
BSU25630,606,486,701
BSU25170,3174,741,1044
BSU25160,244,198,406
BSU25130,612,355,628
BSU24330,4905,3644,4928
BSU24210,605,411,430
BSU23910,3493,2119,3479
BSU23860,11401,5746,7835
BSU23840,278,379,311
BSU23620,914,785,1074
BSU27020,2737,2009,3526
BSU27770,118,228,611
BSU26470,1713,1593,1858
BSU27490,469,656,959
BSU27340,731,731,749
BSU28940,6603,3709,7416
BSU28820,4633,2568,4184
BSU28590,92,101,258
BSU28550,1553,1743,1667
BSU28540,1159,1233,2803
BSU28420,811,1145,1933
BSU30690,49,20,154
BSU29980,514,288,387
BSU29900,269,142,441
BSU29860,665,800,951
BSU29850,1320,1028,948
BSU29820,2521,2432,3366
BSU29250,1981,1135,1412
BSU30420,1781,1197,1337
BSU29220,1361,429,1274
BSU29760,5643,2423,3409
BSU31000,1013,1159,1792
BSU31750,613,571,651
BSU31550,1042,504,562
BSU31390,2728,2121,2631
BSU31370,1640,1513,1353
BSU31910,10799,11580,4748
BSU31170,663,339,711
BSU32110,5216,2849,3293
BSU32550,907,587,411
BSU32570,9042,3514,4350
BSU32610,9758,5339,6442
BSU32670,7870,5589,8218
BSU32700,3760,2365,2845
BSU32710,18937,8637,7943
BSU32290,1038,780,1269
BSU32200,1864,1057,943
BSU32160,1677,1142,3092
BSU33530,5476,3799,6429
BSU33540,6493,3148,4978
BSU33860,910,570,576
BSU33890,3278,3050,4525
BSU34030,3517,3084,5425
BSU34780,601,472,816
BSU34760,555,282,459
BSU34730,363,290,680
BSU34680,1167,863,1270
BSU34620,439,235,425
BSU34480,210,270,238
BSU34050,799,738,1342
BSU34040,1735,1362,1287
BSU33430,3205,2015,1737
BSU33440,1863,824,899
BSU35120,663,218,393
BSU38550,4758,2410,3608
BSU38370,3299,1387,2906
BSU37730,1108,783,1244
BSU37710,1229,769,237
BSU37690,2214,1356,2635
BSU37650,1979,1872,2940
BSU37220,1052,680,1249
BSU37110,14370,8092,11378
BSU37050,337,28,51
BSU36560,568,442,465
BSU36370,1169,1433,1450
BSU36310,617,473,1758
BSU36220,1740,1250,1241
BSU35850,747,555,716
BSU39890,6280,2876,6190
BSU39880,46,160,168
BSU39870,1028,818,470
BSU39250,470,8,215
BSU39190,1298,1216,2655
BSU38950,3203,1533,2143
BSU39290,8611,6521,7305
BSU39220,12751,5103,10511
BSU40920,1826,710,428
BSU40700,416,197,404
BSU23850,2285,1800,2395
