locus_tag,gene,rSS_average
BSU02360,nagBB,0.923567152
BSU02380,ybgB,0.985557594
BSU02390,ilvE,1.365714519
BSU02410,ybgG,0.924094419
BSU02420,glnT,0.97725869
BSU02430,glsA,1.051316627
BSU02440,glnJ,1.155676003
BSU02450,glnL,0.973761355
BSU02460,ycbC,0.997452765
BSU02470,ycbD,0.841933297
BSU02480,gudP,0.997076303
BSU02490,gudD,0.813936503
BSU02510,garD,0.885141372
BSU02520,ycbJ,0.844262273
BSU02530,rtpA,0.881768906
BSU02540,ycbK,1.048419771
BSU02550,ycbL,0.936425554
BSU02560,ycbM,0.894868542
BSU02570,ycbN,1.029388138
BSU02580,ycbO,0.788545659
BSU02590,ycbP,0.860303511
BSU02600,cwlJ,0.955160063
BSU02610,ycbR,0.8641627
BSU02619,yczK,0.866678256
BSU02620,phoD,0.908112527
BSU02630,tatAD,0.970707858
BSU02640,tatCD,0.916134637
BSU02650,pcp,0.943624824
BSU02660,ycbU,0.850190322
BSU02670,lmrB,0.924606961
BSU02680,lmrA,0.996434629
BSU02690,ansZ,0.953746633
BSU02700,estA,0.987926711
BSU02710,yczC,0.987790925
BSU02720,yccF,0.578558444
BSU02730,natK,0.81590017
BSU02740,natR,0.856644706
BSU02750,natA,0.967332482
BSU02760,natB,1.043694031
BSU02770,yccK,0.985121024
BSU02780,ycdA,0.817747437
BSU02790,ycdB,1.076372401
BSU02800,ycdC,0.884889866
BSU02810,cwlK,1.110241315
BSU02820,rapJ,0.974541163
BSU02830,ycdF,1.072710388
BSU02840,ycdG,0.864179154
BSU02850,adcA,0.700255271
BSU02860,adcC,0.72824771
BSU02870,adcB,0.846673753
BSU02880,yceB,0.947958678
BSU02900,yceD,0.669286931
BSU02910,yceE,0.553198926
BSU02920,yceF,0.694332313
BSU02930,yceG,0.907019099
BSU02940,yceH,0.999918463
BSU02950,yceI,0.819284853
BSU02960,yceJ,0.999104316
BSU02980,opuAA,0.967611081
BSU02990,opuAB,0.919405295
BSU03000,opuAC,0.918798767
BSU03010,amhX,0.978201885
BSU03020,ycgA,0.970532618
BSU03030,ycgB,1.147156916
BSU03040,amyE,0.978549656
BSU03050,ldh,0.910311977
BSU03060,lctP,0.989290583
BSU03070,mdr,0.862166847
BSU03080,ycgE,0.904686988
BSU03090,ycgF,1.095369781
BSU03100,ycgG,1.032043321
BSU03110,ycgH,0.861121285
BSU03120,ycgI,1.086420324
BSU03140,tmrB,0.883776538
BSU03160,ycgJ,0.837403619
BSU03170,ycgK,1.000378977
BSU03180,cah,0.949132308
BSU03190,ycgL,1.090778556
BSU03200,ycgM,0.643100394
BSU03210,ycgN,1.125683976
BSU03220,ycgO,0.930930705
BSU03230,ycgP,1.124900766
BSU03240,ycgQ,0.876960716
BSU03250,ycgR,1.039682235
BSU03260,ycgS,1.00067265
BSU03270,ycgT,0.952231022
BSU03280,nasF,0.982327235
BSU03290,nasE,1.050888141
BSU03300,nasD,1.120676886
BSU03310,nasC,1.041960935
BSU03320,nasB,1.148609006
BSU03330,nasA,0.915342352
BSU03340,folEB,1.15854852
BSU03350,yciB,1.111054432
BSU03359,yczL,0.955164735
BSU03360,yciC,0.856514195
BSU03370,yckA,0.871768826
BSU03380,yckB,0.867973279
BSU03390,yckC,0.872130802
BSU03400,yckD,0.97076332
BSU03410,bglC,0.933995707
BSU03420,nin,0.916938938
BSU03430,nucA,1.197363909
BSU03440,tlpC,1.266155996
BSU03450,hxlB,0.95458802
BSU03460,hxlA,0.921591337
BSU03470,hxlR,0.954111177
BSU03480,srfAA,0.56875809
BSU03490,srfAB,0.368010882
BSU03500,comS,1.016922123
BSU03510,srfAC,0.854552463
BSU03520,srfAD,0.773403734
BSU03530,ycxA,0.93198771
BSU03540,ycxB,0.988565851
BSU03550,ycxC,0.91617252
BSU03560,ycxD,0.949241384
BSU03569,sfp,0.89511479
BSU03570,sfp,0.966363568
BSU03580,yczE,0.864151683
BSU03590,tcyC,0.879263671
BSU03600,tcyB,0.934901008
BSU03610,tcyA,0.927961899
BSU03620,yclA,0.92386918
BSU03630,ubiX,0.801879338
BSU03640,ubiD,0.975708084
BSU03651,bsdD,1.006120407
BSU03652,yclD,0.870780307
BSU03660,yclE,1.216079639
BSU03670,dtpT,0.989351148
BSU03680,yclG,1.148352776
BSU03690,yczF,1.17612902
BSU03700,gerKA,1.081246552
BSU03710,gerKC,1.230711018
BSU03720,gerKB,1.239680668
BSU03730,yclH,0.827591152
BSU03740,yclI,0.920993874
BSU03750,yclJ,1.233640501
BSU03760,yclK,0.574195534
BSU03770,rapC,0.877543736
BSU03780,phrC,0.997992333
BSU03788,yczM,1.05172557
BSU03789,yczN,0.959138628
BSU03790,yclM,0.951005028
BSU03800,yclN,0.866918214
BSU03810,yclO,0.752651014
BSU03840,ycnB,1.022868226
BSU03850,ycnC,1.386524562
BSU03860,ycnD,1.017221556
BSU03870,ycnE,1.203886683
BSU03880,yczG,1.078425911
BSU03890,gabR,1.074677018
BSU03910,gabD,0.934817462
BSU03920,glcU,0.884204138
BSU03930,gdh,0.940692733
BSU03940,ycnI,0.985473508
BSU03950,ycnJ,1.026349695
BSU03960,ycnK,1.435594481
BSU03970,ycnL,0.865806871
BSU03981,mtlA,0.565199075
BSU03982,mtlF,0.560036376
BSU03990,mtlD,1.030552053
BSU04000,ycsA,1.007874091
BSU04010,sipU,0.940379548
BSU04020,yczH,1.038111781
BSU04030,ycsD,0.952992765
BSU04039,yczO,1.029405395
BSU04040,ycsE,0.835025936
BSU04050,ycsF,0.922630942
BSU04070,ycsI,0.768664376
BSU04080,kipI,1.101622282
BSU04090,kipA,0.592995483
BSU04100,kipR,0.908313414
BSU04110,lipC,0.897147763
BSU04120,yczI,1.095481582
BSU04130,yczJ,1.040342606
BSU04140,pbpC,0.882910364
BSU04150,ycsN,0.887870957
BSU04160,mtlR,0.95520702
BSU04170,ydaB,1.032586945
BSU04180,ydaC,0.898953982
BSU04190,ydaD,1.013762176
BSU04200,ydaE,0.906629692
BSU04210,ydaF,0.92780795
BSU04220,ydaG,0.987503512
BSU04230,ydaH,0.917443166
BSU04240,ydzA,0.915680275
BSU04250,lrpC,0.938556965
BSU04260,topB,0.960939091
BSU04270,ydaJ,0.905986746
BSU04280,ydaK,0.825667244
BSU04290,ydaL,1.01315525
BSU04300,ydaM,0.968212572
BSU04310,ydaN,0.987928406
BSU04320,ydaO,0.872906703
BSU04330,mutT,0.986137739
BSU04340,ydaP,1.062449372
BSU04359,ydzK,0.917769013
BSU04360,mntH,0.869482687
BSU04370,ydaS,1.109047429
BSU04380,ydaT,1.10866636
BSU04390,ydbA,1.079636072
BSU04400,gsiB,0.893406282
BSU04410,ydbB,1.11492507
BSU04430,ydbD,1.013919
BSU04440,dctB,0.918712129
BSU04450,dctS,0.492053321
BSU04460,dctR,0.957653905
BSU04480,ydbI,0.782649078
BSU04490,ydbJ,1.054168165
BSU04500,ydbK,0.929125662
BSU04510,ydbL,0.827089036
BSU04520,ydbM,1.096257884
BSU04530,ydbN,0.788066783
BSU04540,ydbO,1.01247499
BSU04550,ydbP,0.891838749
BSU04590,ydbS,1.05281089
BSU04600,ydbT,1.208412514
BSU04610,ydcA,0.784272389
BSU04630,ydcC,0.654415521
BSU04650,endB,1.212934223
BSU04660,ndoA,1.30531473
BSU04670,rsbRA,0.877665324
BSU04690,rsbT,1.052680553
BSU04700,rsbU,1.099128309
BSU04710,rsbV,0.917375263
BSU04730,sigB,0.973281924
BSU04740,rsbX,0.98086591
BSU04750,ydcF,0.846447907
BSU04760,ydcG,0.942074664
BSU04770,ydcH,1.276055873
BSU04780,ydcI,0.873912388
BSU04790,ydcK,0.982819722
BSU04800,ydcL,1.161029419
BSU04810,immA,0.896091921
BSU04820,immR,0.701003733
BSU04830,sacV,0.054793737
BSU04839,ydzL,0.612501967
BSU04840,ydcO,0.64354877
BSU04850,ydcP,0.997696012
BSU04860,ydcQ,0.914434222
BSU04870,ydcR,1.100895065
BSU04880,ydcS,1.114103875
BSU04890,ydcT,1.03884517
