locus_tag,gene,rSS_average
BSU09410,phoA,1.067564373
BSU09420,lytE,0.86387155
BSU09430,citR,0.987400674
BSU09440,citA,1.072032131
BSU09450,yhdF,0.923358936
BSU09460,ctrA,0.957642132
BSU09470,yhdH,0.856779305
BSU09480,yhdI,1.164884172
BSU09490,yhdJ,0.794004618
BSU09520,sigM,0.902823947
BSU09530,yhdN,1.042218113
BSU09550,yhdP,1.123409171
BSU09560,cueR,0.515173748
BSU09570,yhdR,0.943017802
BSU09590,yhdT,1.226201523
BSU09600,crcBA,1.137165293
BSU09610,yhdV,1.123534642
BSU09620,yhdW,1.012603021
BSU09630,yhdX,0.816843444
BSU09640,yhdY,0.772295401
BSU09650,yhdZ,0.884452688
BSU09660,yheN,0.925687161
BSU09670,dat,0.94891497
BSU09680,nhaC,1.046714645
BSU09690,nhaX,1.056397018
BSU09700,yheJ,0.685077121
BSU09710,yheI,0.93727889
BSU09720,yheH,0.97232621
BSU09730,yheG,0.756972733
BSU09740,yheF,0.883807046
BSU09750,sspB,0.739945695
BSU09760,yheE,0.913973456
BSU09770,yheD,0.729438728
BSU09780,yheC,0.577656185
BSU09790,yheB,0.965421767
BSU09800,yheA,0.991971814
BSU09810,yhaZ,0.938991847
BSU09830,yhaX,0.874467926
BSU09840,hemZ,1.069879817
BSU09850,yhaU,0.886060582
BSU09860,khtT,0.94878211
BSU09870,khtS,0.860816981
BSU09880,yhaR,0.891351022
BSU09889,yhzD,0.821841113
BSU09890,natA,0.963517253
BSU09900,natB,0.752522391
BSU09910,yhaO,0.37991596
BSU09920,yhaN,0.821100721
BSU09930,yhaM,0.609768508
BSU09940,yhaL,0.898064229
BSU09958,yhzE,0.787546416
BSU09965,yhaJ,1.118816945
BSU09980,yhaI,1.068591239
BSU09990,scoC,1.228573667
BSU10000,yhaH,0.868665355
BSU10009,yhzF,0.835223645
BSU10010,trpP,0.905870871
BSU10030,hinT,0.812393026
BSU10040,ecsA,0.232896777
BSU10050,ecsB,0.267204969
BSU10060,ecsC,0.747468395
BSU10070,yhaA,0.9030186
BSU10080,yhfA,0.900216825
BSU10090,yhgB,0.957653167
BSU10100,yhgC,1.029582529
BSU10110,pbpF,0.669714186
BSU10150,yhgD,0.617416052
BSU10160,yhgE,1.030986516
BSU10170,fabHB,0.97756296
BSU10180,yhfC,1.031208312
BSU10200,yhfE,0.514658664
BSU10210,yhfF,0.836785436
BSU10230,yhfH,0.847875864
BSU10240,yhfI,0.95063164
BSU10250,yhfJ,1.078312778
BSU10260,yhfK,1.098173565
BSU10270,lcfB,0.953628018
BSU10280,yhfM,0.904392892
BSU10290,yhfN,0.784995052
BSU10300,aprE,0.880820031
BSU10310,yhfO,0.899187941
BSU10320,yhfP,1.061622471
BSU10330,yhfQ,0.723760115
BSU10340,phoE,1.120495846
BSU10350,yhfS,1.095616654
BSU10360,yhfT,1.009686032
BSU10370,bioY,1.100232425
BSU10380,hemAT,0.906486395
BSU10390,yhfW,0.965353858
BSU10400,yhxC,0.994740014
BSU10410,yhzC,0.914076832
BSU10420,comK,0.993564072
BSU10430,yhxD,1.075405799
BSU10440,yhjA,1.027755958
BSU10450,yhjB,1.022876135
BSU10460,yhjC,1.105015231
BSU10470,yhjD,0.971710473
BSU10480,yhjE,0.862326416
BSU10490,sipV,0.910610124
BSU10500,yhjG,1.156117494
BSU10510,yhjH,0.817049425
BSU10520,glcP,0.890264065
BSU10530,ntdC,1.088615471
BSU10540,ntdB,0.987136154
BSU10550,ntdA,1.056908768
BSU10560,yhjM,0.951722981
BSU10570,yhjN,0.866104875
BSU10580,yhjO,0.976426892
BSU10590,yhjP,1.091292563
BSU10600,yhjQ,1.045577445
BSU10640,sbcD,0.867980973
BSU10650,sbcC,0.988249986
BSU10660,yisB,1.038692542
BSU10670,gerPF,0.536667714
BSU10680,gerPE,0.69911364
BSU10690,gerPD,0.620226309
BSU10700,gerPC,0.520130279
BSU10710,gerPB,0.742143233
BSU10720,gerPA,0.671635342
BSU10730,yisI,1.151404875
BSU10740,yisJ,0.272479956
BSU10750,yisK,0.95954945
BSU10760,yisL,0.880964322
BSU10770,wprA,0.683541568
BSU10780,yisN,0.909899577
BSU10790,asnO,0.303254542
BSU10800,yizA,0.934838424
BSU10810,yisP,0.893523963
BSU10820,yisQ,0.979624977
BSU10830,yisR,0.91545314
BSU10840,degA,0.963530781
BSU10850,yisS,0.909161367
BSU10860,yisT,0.820196584
BSU10870,yisU,0.84760505
BSU10880,yisV,0.466084497
BSU10890,yisX,1.046685289
BSU10900,yisY,1.008306127
BSU10910,yisZ,0.988038706
BSU10920,yitA,0.915347795
BSU10930,yitB,0.844728768
BSU10940,yitC,0.504559601
BSU10950,yitD,0.774080353
BSU10960,yitE,0.933249986
BSU10980,yitG,0.939098455
BSU10990,yitH,0.995386478
BSU11000,yitI,0.981631915
BSU11010,yitJ,1.015323977
BSU11020,yitK,0.906726481
BSU11030,yitL,0.952191
BSU11040,yitM,0.849586789
BSU11055,yitO,0.787963865
BSU11070,yitP,0.936465581
BSU11079,yizB,0.810868512
BSU11080,yitQ,0.92898835
BSU11090,yitR,1.036500736
BSU11100,nprB,0.546007677
BSU11110,yitS,1.03962056
BSU11120,yitT,1.011141073
BSU11130,ipi,0.816502296
BSU11139,yizC,1.012904796
BSU11140,yitU,0.83659805
BSU11150,yitV,0.806050637
BSU11160,yitW,0.670561832
BSU11170,yitY,0.90300145
BSU11180,yitZ,1.050310016
BSU11190,argC,0.046353882
BSU11210,argB,0.046527334
BSU11260,yjzC,0.967434927
BSU11270,yjzD,0.84910598
BSU11280,yjaU,0.761961473
BSU11300,med,1.09016902
BSU11310,comZ,0.949682236
BSU11320,yjzB,0.985713637
BSU11330,fabHA,0.709919892
BSU11350,yjaZ,0.922777205
BSU11360,appD,0.806487214
BSU11370,appF,0.8716251
BSU11381,appA,0.945825078
BSU11382,appA,0.813053501
BSU11390,appB,0.890011997
BSU11400,appC,0.987624253
BSU11410,yjbA,1.089170491
BSU11430,oppA,0.216121945
BSU11440,oppB,0.217147623
BSU11450,oppC,0.272274586
BSU11460,oppD,0.274434292
BSU11470,oppF,0.346044135
BSU11480,yjbB,0.823479771
BSU11490,yjbC,0.844248661
BSU11500,spxA,1.053401983
BSU11510,yjbE,1.007401872
BSU11520,mecA,1.106859953
BSU11530,coiA,0.51648924
BSU11540,pepF,0.544226062
BSU11549,yizD,0.64789296
BSU11550,yjbH,0.391764485
BSU11560,yjbI,0.173275305
BSU11570,yjbJ,0.892543672
BSU11580,yjbK,1.172351455
BSU11590,yjbL,0.659312202
BSU11620,yjbO,1.02922545
BSU11630,prpE,0.955696996
BSU11640,yjbQ,0.998917318
BSU11650,tenA,1.006190851
BSU11660,tenI,0.925129886
BSU11670,thiO,1.030341536
BSU11680,thiS,0.929688478
BSU11690,thiG,0.899688795
BSU11700,thiF,1.249430498
BSU11710,thiD,1.039769033
BSU11720,fabI,0.772232198
BSU11730,cotO,1.111130863
BSU11740,cotZ,0.713258216
BSU11750,cotY,0.996154956
BSU11760,cotX,1.060964696
BSU11770,cotW,0.861051924
BSU11780,cotV,0.928122548
BSU11790,yjcA,0.673614603
BSU11799,yjzK,1.101656332
BSU11809,yjcZ,1.001552108
BSU11810,spoVIF,0.129536884
BSU11820,yjcD,1.015992254
BSU11839,yjzE,1.004818867
BSU11840,yjcF,0.935689737
BSU11850,yjcG,0.930795608
BSU11860,yjcH,0.930759029
BSU11870,metI,0.931428207
BSU11880,metC,0.893978933
BSU11890,yjcK,0.922395822
BSU11900,yjcL,0.984045154
BSU11910,yjcM,1.157338289
BSU11920,yjcN,0.898356865
BSU11928,yjzF,0.956251137
BSU11929,yjzG,0.948594582
BSU11930,yjcO,0.936153712
BSU11940,yjcP,1.07278738
BSU11950,yjcQ,1.115497624
BSU11960,yjcR,0.995260723
BSU11970,yjcS,0.89192572
BSU11980,yjdA,0.898499967
BSU11990,yjdB,0.946279096
BSU12000,manR,0.933519659
BSU12010,manP,0.620423645
BSU12020,manA,0.998507315
BSU12030,yjdF,0.888155322
BSU12040,yjdG,0.921830239
BSU12050,yjdH,0.950344344
BSU12060,yjdI,1.0022067
BSU12069,yjzH,1.00393866
BSU12070,yjdJ,0.861945935
BSU12080,ctaO,0.834494066
BSU12090,cotT,0.940662979
BSU12100,yjeA,1.180689395
BSU12110,yjfA,0.840651781
BSU12120,yjfB,1.111976259
BSU12130,yjfC,0.960400109
BSU12140,yjgA,1.08388406
BSU12150,yjgB,0.892208493
BSU12160,yjgC,0.976127121
BSU12170,yjgD,0.980674577
BSU12180,yjhA,0.923473355
BSU12190,yjhB,0.898646435
BSU12200,yjiA,0.911307516
BSU12210,yjiB,1.065211184
BSU12220,yjiC,1.022427959
BSU12229,yjzI,0.976874342
BSU12230,yjjA,0.999956286
BSU12240,yjkA,0.911079731
BSU12250,yjkB,1.023379996
BSU12260,yjlA,1.181826117
BSU12270,yjlB,1.034369727
BSU12280,rex,0.83036273
BSU12290,ndh,0.673948225
BSU12300,uxaC,0.929636219
BSU12310,exuM,1.166515591
BSU12320,yjmC,0.854631449
BSU12330,yjmD,1.284330198
BSU12340,uxuA,0.906193741
BSU12350,uxuB,1.047891572
BSU12360,exuT,1.072718465
BSU12370,exuR,0.964994555
BSU12380,uxaB,0.906099307
BSU12390,uxaA,0.845526463
BSU12410,yjoA,0.97247963
BSU12420,yjoB,1.003762223
BSU12440,phrA,0.15951648
BSU12450,yjpA,1.626043056
BSU12460,xlyB,1.139423404
BSU12470,yjqA,1.138536389
BSU12480,yjqB,0.982574803
BSU12500,xkdA,0.973019892
BSU12539,ykzK,0.830541439
BSU12540,xkdD,0.873994444
BSU12550,xtrA,1.077117913
BSU12560,xpf,0.965181503
BSU12570,xtmA,1.027637775
BSU12580,xtmB,0.938831391
BSU12590,xkdE,1.049092787
BSU12600,xkdF,0.939256121
BSU12610,xkdG,0.793345295
BSU12619,ykzL,1.078142864
BSU12630,xkdI,1.152725691
BSU12640,xkdJ,1.029023299
BSU12649,ykzM,0.928668919
BSU12650,xkdK,0.833010734
BSU12660,xkdM,0.923435345
BSU12671,xkdN,1.027230173
BSU12672,xkzB,0.909534246
BSU12680,xkdO,0.89694173
BSU12690,xkdP,1.06215874
BSU12700,xkdQ,1.071821242
BSU12710,xkdR,0.934365592
BSU12720,xkdS,0.949886454
BSU12730,xkdT,1.015651564
BSU12740,xkdU,1.12614685
BSU12749,xkzA,0.937045799
BSU12750,xkdV,1.008261442
BSU12760,xkdW,1.040178743
BSU12770,xkdX,0.596856132
BSU12780,xepA,1.262056111
BSU12790,xhlA,1.065187804
BSU12800,xhlB,1.087677815
BSU12810,xlyA,0.928761854
BSU12830,spoIISA,0.86476096
BSU12840,pit,1.151279762
BSU12850,ykaA,0.971133727
BSU12860,ykbA,0.857825453
BSU12870,mhqA,0.974784174
BSU12880,ykcB,0.490137883
BSU12890,ykcC,0.973221802
BSU12900,htrA,1.041493298
BSU12910,proG,1.043767807
BSU12930,dppB,1.192180949
BSU12940,dppC,0.996926706
BSU12950,dppD,0.995717451
BSU12960,dppE,1.026047124
BSU12970,ykfA,0.521840102
BSU12980,ykfB,0.806098815
BSU12990,ykfC,0.731401173
BSU13000,ykfD,0.934863372
BSU13020,ykgA,1.282607991
BSU13030,ykhA,1.104413306
BSU13040,hmp,0.999081884
BSU13050,ykzH,0.973279237
BSU13060,ykjA,0.899855391
BSU13070,ykkA,0.828406337
BSU13080,ykkB,1.194878327
BSU13090,ykkC,1.045443687
BSU13100,ykkD,0.933332372
BSU13120,proB,1.276071326
BSU13140,ohrA,0.868850052
BSU13150,ohrR,1.188057173
BSU13160,ohrB,1.069655536
BSU13169,ykzN,0.871429801
BSU13170,guaD,1.045968158
BSU13190,ispA,0.895761441
BSU13200,rsbRB,0.945173561
BSU13210,thiX,1.075711883
BSU13220,thiW,0.975935669
BSU13230,thiV,1.122380735
BSU13240,thiU,0.950599195
BSU13250,ykoG,0.981064382
BSU13260,ykoH,0.976584878
BSU13270,ykoI,1.026171552
BSU13280,ykoJ,1.042192836
BSU13290,ykzD,1.036805118
BSU13299,ykzO,0.22712202
BSU13310,tnrA,0.759025421
BSU13330,ykoL,1.00933121
BSU13340,ykoM,1.202741783
BSU13350,ykoN,1.089187287
BSU13360,ykoP,1.120203183
BSU13370,ykoQ,1.082191392
BSU13380,ykoS,0.626121385
BSU13390,ykoT,0.768234188
BSU13400,ykoU,0.814752051
BSU13410,ykoV,0.797963781
BSU13420,ykoW,0.786673847
BSU13430,ykoX,1.017387129
BSU13440,ykoY,0.804517548
BSU13450,sigI,0.766629224
BSU13460,rsgI,1.076322727
BSU13470,sspD,0.931469873
BSU13480,ykrK,0.609226577
BSU13490,htpX,1.030498339
BSU13500,ktrD,1.016754959
BSU13509,ykzP,0.75828907
BSU13510,ykzE,0.825394637
BSU13520,ykrP,0.881607522
BSU13530,kinE,1.458446954
BSU13550,mtnA,0.856686942
BSU13560,mtnK,0.860562111
BSU13570,mtnU,0.76002639
BSU13580,mtnE,0.985614616
BSU13590,mtnW,1.258567419
BSU13600,mtnX,1.250098928
BSU13610,mtnB,1.109686226
BSU13620,mtnD,1.131321176
BSU13630,ykvA,0.887398575
BSU13640,spo0E,0.736896895
BSU13650,eag,0.970463971
BSU13660,kinD,1.348266291
BSU13670,mhqR,0.570086262
BSU13680,motB,0.619988775
BSU13690,motA,0.751024268
BSU13700,clpE,1.192397876
BSU13710,ykvI,0.875540576
BSU13720,queC,0.975416895
BSU13730,queD,0.666690631
BSU13740,queE,0.936776472
BSU13750,queF,0.862795634
BSU13760,ykvN,1.112811949
BSU13770,ykvO,1.024142166
BSU13780,ykvP,0.860680695
BSU13789,ykzQ,0.925180822
BSU13790,ykvQ,0.932371238
BSU13799,ykzR,1.070297116
BSU13800,ykvR,1.015284859
BSU13810,ykvS,0.97868077
BSU13819,ykzS,1.069704296
BSU13830,ykvU,0.266280456
BSU13840,stoA,0.395894339
BSU13850,zosA,1.135280987
BSU13860,ykvY,0.9294106
BSU13870,ykvZ,0.826671271
BSU13880,glcT,0.985559582
BSU13890,ptsG,1.100945806
BSU13900,ptsH,0.240000438
BSU13910,ptsI,0.24820573
BSU13930,splB,0.957008744
BSU13940,ykwB,1.158024898
BSU13950,mcpC,0.753017886
BSU13960,ykwC,0.944390461
BSU13970,ykwD,1.027952694
BSU13980,pbpH,1.760984682
BSU14009,ykzT,0.961404135
BSU14010,cheV,0.957733258
BSU14020,ykyB,0.870524041
BSU14030,ykuC,0.665998179
BSU14040,ykuD,1.033653238
BSU14050,ykuE,1.076982839
BSU14060,fadH,0.804077842
BSU14071,fadG,0.971907464
BSU14072,ykzU,0.902790285
BSU14080,ykuH,0.734922587
BSU14090,ykuI,1.04928436
BSU14100,ykuJ,0.749109691
BSU14110,ykuK,0.901330099
BSU14120,ykzF,1.021084614
BSU14130,ykuL,1.001863546
BSU14140,ccpC,1.021641584
BSU14150,ykuN,0.58052142
BSU14160,ykuO,0.962920309
BSU14170,ykuP,1.162941885
BSU14200,ykuS,0.974739871
BSU14210,ykuT,1.073982179
BSU14220,ykuU,1.179888376
BSU14230,ykuV,0.774577102
BSU14250,yknT,0.962511069
BSU14260,mobA,0.751653636
BSU14270,moeB,0.651013875
BSU14280,moeA,1.028649771
BSU14290,mobB,1.110047892
BSU14300,moaE,1.181470096
BSU14310,moaD,1.290957579
BSU14330,yknV,1.02978616
BSU14340,yknW,0.800778207
BSU14350,yknX,0.820852996
BSU14360,yknY,0.984427256
BSU14370,yknZ,0.870715536
BSU14380,fruR,0.79843882
BSU14390,fruK,1.125868554
BSU14400,fruA,0.697219854
BSU14410,sipT,0.949587665
BSU14420,ykoA,1.087087946
BSU14430,ykpA,0.906876376
BSU14440,panE,1.304616045
BSU14450,ampS,1.123998238
BSU14460,ykpC,1.06032626
BSU14470,mreBH,1.064226399
BSU14480,abh,0.721243222
BSU14490,kinC,0.893697497
BSU14500,ykqA,0.963437113
BSU14510,ktrC,1.055543941
BSU14550,ykrA,0.899092136
BSU14560,defB,0.738507324
BSU14569,ykzV,1.219972519
BSU14570,ykyA,0.770786881
BSU14620,slp,1.076292687
BSU14629,ykzW,0.9086921
BSU14630,speA,0.772551696
BSU14640,yktA,0.922875714
BSU14650,yktB,0.907936389
BSU14660,ykzI,0.640721463
BSU14670,suhB,0.922392768
BSU14680,ykzC,0.907641039
BSU14690,yktD,0.911380694
BSU14700,nprE,1.001744638
BSU14710,ylaA,0.925445818
BSU14720,ylaB,0.893480847
BSU14730,ylaC,1.009616292
BSU14740,ylaD,0.828013892
BSU14750,ylaE,1.072243569
BSU14760,ylaF,1.083106912
BSU14770,bipA,0.819397239
BSU14780,ylaH,0.754007256
BSU14800,ylaJ,1.291673753
BSU14830,glsB,1.069815713
BSU14860,pycA,0.982623555
BSU14880,ctaB,0.427296976
BSU14890,ctaC,1.310768019
BSU14900,ctaD,1.071624045
BSU14910,ctaE,0.920343567
BSU14920,ctaF,0.872827583
BSU14930,ctaG,1.04430328
BSU14940,ylbA,1.158143587
BSU14950,ylbB,0.968854273
BSU14960,ylbC,0.87073341
BSU14970,ylbD,0.542880957
BSU14980,ylbE,0.898311818
BSU14990,ylbF,0.106152665
BSU15000,ylbG,0.71442363
BSU15010,ylbH,0.789140038
BSU15030,ylbJ,0.596762371
BSU15040,ylbK,0.870267873
BSU15060,ylbM,0.716668211
BSU15069,ylzH,0.417114918
BSU15070,ylbN,0.814036589
BSU15080,rpmF,0.271959613
BSU15090,ylbO,0.527338205
BSU15100,ylbP,0.875086245
BSU15110,ylbQ,1.105745521
BSU15120,yllA,1.039893173
BSU15130,mraZ,1.049978196
BSU15140,mraW,0.730258785
BSU15170,spoVD,0.104202159
BSU15210,spoVE,0.131352945
BSU15250,ylxW,0.743123057
BSU15260,ylxX,0.841980294
BSU15270,sbp,0.922686711
BSU15300,bpr,1.065636768
BSU15310,spoIIGA,0.05874262
BSU15320,sigE,0.045687129
BSU15330,sigG,0.039052052
BSU15340,ylmA,1.113138114
BSU15350,thiQ,0.982421997
BSU15360,ylmC,0.84239517
BSU15370,ylmD,0.724078862
BSU15380,ylmE,0.814393097
BSU15390,sepF,0.822344112
BSU15400,ylmG,0.957305562
BSU15410,ylmH,0.87975463
BSU15420,divIVA,0.209692288
BSU15440,ylyA,0.958037896
BSU15450,lspA,0.711087111
BSU15470,pyrR,1.390810493
BSU15480,pyrP,0.972878123
BSU15490,pyrB,1.068747299
BSU15500,pyrC,1.169262152
BSU15510,pyrAA,0.784497911
BSU15520,pyrAB,0.830213944
BSU15530,pyrK,0.970235263
BSU15540,pyrD,1.158923428
BSU15550,pyrF,0.939798709
BSU15560,pyrE,0.816360765
BSU15580,cysP,1.12545629
BSU15590,sat,0.918514817
BSU15600,cysC,1.18146897
BSU15610,sumT,1.023309757
BSU15630,sirC,1.282357145
BSU15640,yloA,0.669295321
BSU15650,yloB,0.64533781
BSU15660,yloC,1.277666064
BSU15670,ylzA,0.969111523
BSU15690,rpoZ,1.056331311
BSU15720,defA,1.054164589
BSU15740,rsmB,0.979838732
BSU15750,yloN,0.556408637
BSU15760,prpC,0.380226906
BSU15770,prkC,1.072186299
BSU15780,cpgA,0.082780403
BSU15800,thiN,0.114829573
BSU15810,spoVM,0.11427384
BSU15820,rpmB,1.129413227
BSU15830,yloU,0.863693509
BSU15840,yloV,0.925547225
BSU15850,sdaAB,1.056412943
BSU15860,sdaAA,0.769682107
BSU15870,recG,0.513155638
BSU15880,fapR,1.071214588
BSU15960,ylqB,0.830761218
BSU15970,ylxM,0.617050272
BSU16000,ylqC,0.818623752
BSU16010,ylqD,0.919756113
BSU16020,rimM,0.006403659
BSU16060,rnhB,0.859215235
BSU16070,ylqG,1.139232579
BSU16080,ylqH,1.178262788
BSU16110,dprA,0.49220361
BSU16130,trmFO,0.852458718
BSU16150,clpQ,0.794628477
BSU16160,clpY,0.483353824
BSU16170,codY,0.988084233
BSU16180,flgB,0.531847811
BSU16190,flgC,0.810916784
BSU16200,fliE,0.926761273
BSU16210,fliF,0.978060942
BSU16220,fliG,1.303394452
BSU16230,fliH,0.908320946
BSU16240,fliI,0.89816459
BSU16250,fliJ,0.782547297
BSU16260,ylxF,0.914336088
BSU16270,fliK,0.641442666
BSU16280,flgD,0.707007875
BSU16290,flgE,0.901872027
BSU16299,ylzI,0.804522291
BSU16300,fliL,0.890642874
BSU16310,fliM,0.947550815
BSU16320,fliY,0.654723663
BSU16330,cheY,0.197495211
BSU16340,fliZ,0.959787093
BSU16350,fliP,0.742388363
BSU16360,fliQ,0.833231273
BSU16370,fliR,0.694282237
BSU16380,flhB,0.957188318
BSU16390,flhA,0.994357057
BSU16400,flhF,0.864085851
BSU16410,ylxH,0.797116232
BSU16420,cheB,0.974780609
BSU16440,cheW,0.702583073
BSU16450,cheC,0.825473228
BSU16460,cheD,0.834388103
BSU16470,sigD,0.975062318
BSU16480,ylxL,0.637464016
BSU16560,rasP,0.119958829
BSU16590,ylxS,0.222238386
BSU16610,ylxR,0.655066982
BSU16620,rplGA,0.281048132
BSU16640,ylxP,0.862047494
BSU16650,rbfA,0.182697172
BSU16660,truB,0.749447933
BSU16690,pnpA,0.32597363
BSU16700,ylxY,0.974105697
BSU16710,mlpA,0.892173707
BSU16720,ymxH,0.963495057
BSU16730,spoVFA,0.368751172
BSU16740,spoVFB,0.509219009
BSU16780,rnjB,0.824152065
BSU16790,tepA,1.156906471
BSU16799,ylzJ,1.237832478
BSU16800,spoIIIE,0.006902234
BSU16810,ymfC,1.172105217
BSU16825,ymfD,0.962028717
BSU16845,ymfF,1.030032962
BSU16860,ymfH,0.821203121
BSU16880,ymfJ,0.931455074
BSU16890,ymfK,0.889904462
BSU16900,ymfK,0.861658813
BSU16910,ymfM,0.925419711
BSU16930,cinA,0.92312176
BSU16940,recA,0.446764328
BSU16950,pbpX,1.195194574
BSU16970,ymdB,0.366658073
BSU16980,spoVS,0.103541251
BSU17000,kbl,1.222378488
BSU17010,ymcB,0.753695073
BSU17040,mutS,1.091396461
BSU17050,mutL,0.952361426
BSU17060,ymzD,1.100902402
BSU17070,ymcC,1.079971992
BSU17080,pksA,1.050710984
BSU17090,pksB,1.152468844
BSU17100,pksC,0.852675673
BSU17110,pksD,0.888757454
BSU17120,pksE,0.786391554
BSU17130,acpK,0.854542209
BSU17140,pksF,0.968182798
BSU17150,pksG,0.868987741
BSU17160,pksH,1.027140585
BSU17170,pksI,0.93773958
BSU17180,pksJ,0.923743986
BSU17190,pksL,0.757612715
BSU17200,pksM,0.894412567
BSU17210,pksN,0.732622781
BSU17220,pksR,0.874086454
BSU17230,pksS,0.84642586
BSU17240,ymzB,0.975688688
BSU17250,ymaE,1.090258964
BSU17260,aprX,0.69127072
BSU17266,ymzE,1.018637448
BSU17267,ymzE,0.83338158
BSU17270,ymaC,0.906686257
BSU17280,ymaD,0.992242155
BSU17290,ebrB,0.976293017
BSU17300,ebrA,1.033354593
BSU17310,ymaG,0.950769186
BSU17330,miaA,0.627981175
BSU17340,ymaH,0.755061337
BSU17350,ymzC,1.142841041
BSU17360,ymzA,1.311228292
BSU17400,ymaB,0.973769093
BSU17410,cwlC,1.117967764
BSU17420,spoVK,0.369284919
BSU17430,ynbA,0.844839559
BSU17440,ynbB,0.56429233
BSU17450,glnR,0.529383497
BSU17470,ynxB,1.083396186
BSU17480,ynzF,1.119918637
BSU17490,ynzG,0.653878104
BSU17500,ynaB,1.061703673
BSU17510,ynaC,1.05297475
BSU17520,ynaD,1.070157433
BSU17530,ynaE,1.219371882
BSU17540,ynaF,1.049267447
BSU17550,ynaG,1.065982737
BSU17559,ynzI,0.874281074
BSU17560,ynaI,1.025986817
BSU17570,xynP,0.984779071
BSU17580,xynB,1.194340478
BSU17590,xylR,1.030674982
BSU17600,xylA,0.863869262
BSU17610,xylB,1.155394147
BSU17620,yncB,1.14801156
BSU17630,yncC,1.000134878
BSU17640,alrB,0.975125263
BSU17650,yncE,1.157920509
BSU17660,yncF,1.074193829
BSU17670,cotU,1.086836159
BSU17678,ynzJ,1.343203629
BSU17680,thyA,0.984307389
BSU17690,yncM,0.754776195
BSU17699,ynzK,0.868374903
BSU17700,cotC,1.105456142
BSU17710,tatAC,1.153652003
BSU17720,yndA,1.057431973
BSU17730,yndB,1.023957897
BSU17740,ynzB,1.026280482
BSU17750,yndD,1.035878837
BSU17760,yndE,1.045355225
BSU17770,yndF,1.095287564
BSU17780,yndG,0.995919044
BSU17790,yndH,0.94271486
BSU17800,yndJ,1.138712799
BSU17810,yndK,1.083547421
BSU17820,yndL,0.99284028
BSU17830,yndM,1.078579262
BSU17840,fosB,0.971652648
BSU17850,lexA,0.097328126
BSU17860,yneA,1.075147667
BSU17870,yneB,1.15254831
BSU17880,ynzC,1.184747671
BSU17900,yneE,0.687544633
BSU17920,ynzD,1.091717455
BSU17930,ccdA,0.209792566
BSU17940,yneI,1.013821716
BSU17950,yneJ,1.318683735
BSU17970,cotM,1.096805721
BSU17980,sspP,0.952404063
BSU18010,yneN,0.95810857
BSU18019,ynzL,0.879132945
BSU18020,sspN,0.998865208
BSU18030,tlp,0.978145548
BSU18040,yneP,0.992683214
BSU18050,yneQ,0.910370096
BSU18060,yneR,1.025945835
BSU18080,yneT,0.88884698
BSU18110,ynfC,0.98907425
BSU18120,alsT,0.939108986
BSU18130,eglS,0.939348667
BSU18140,ynfE,0.852314799
BSU18150,xynC,0.952723218
BSU18160,xynD,0.989617027
BSU18170,yngA,0.942780672
BSU18180,yngB,0.964158066
BSU18190,yngC,1.097943077
BSU18200,yngD,1.120731979
BSU18210,yngE,1.04987032
BSU18220,yngF,1.018595566
BSU18230,yngG,1.244836048
BSU18239,yngHB,1.264892485
BSU18240,yngHA,1.196624959
BSU18250,yngI,1.194101732
BSU18260,yngJ,1.124808817
BSU18270,ynzE,1.084867144
BSU18280,yngK,1.071528718
BSU18290,yngL,1.080298904
BSU18300,ppsE,1.172907242
BSU18310,ppsD,1.182917056
BSU18320,ppsC,1.128333323
BSU18330,ppsB,0.99335249
BSU18340,ppsA,1.144061454
BSU18350,dacC,1.06701727
BSU18360,yoxA,1.017931375
BSU18370,yoeA,1.197952874
BSU18380,iseA,1.029633925
BSU18390,yoeC,1.021692168
BSU18400,yoeD,1.057888142
BSU18410,ggt,1.124486312
BSU18420,ftsR,1.042912888
BSU18430,yogA,1.102633356
BSU18440,gltB,1.095590057
BSU18450,gltA,1.292739826
BSU18460,gltC,1.128868322
BSU18470,proJ,0.860074046
BSU18480,proH,0.870251499
BSU18490,rtp,0.92604049
BSU18500,yoxD,1.044535722
BSU18510,yoxC,0.97077147
BSU18520,yoxB,1.018199682
BSU18530,yoaA,1.089142367
BSU18540,yoaB,1.091363739
BSU18550,yoaC,1.088140266
BSU18560,yoaD,0.746532604
BSU18570,yoaE,1.050461971
BSU18580,yoaF,0.998088995
BSU18590,yoaG,0.979647739
BSU18600,yozQ,1.040188194
BSU18610,yoaH,0.91786604
BSU18620,yoaI,0.910436731
BSU18630,exlX,1.022008646
BSU18640,yoaK,1.020993084
BSU18650,pelB,0.975909973
BSU18660,yoaM,0.998457848
BSU18669,yozS,1.055244122
BSU18670,yoaN,0.960062183
BSU18680,yoaO,0.840436634
BSU18690,yoaP,1.15516961
BSU18700,yoaQ,0.994642657
BSU18709,yozT,1.064817242
BSU18710,yozF,1.020863013
BSU18720,yoaR,1.109836575
BSU18730,yoaS,0.801278585
BSU18740,yozG,0.971247529
BSU18750,yoaT,0.951105496
BSU18760,yoaU,0.944481032
BSU18770,cyeA,1.107957361
BSU18780,yoaW,0.986771372
BSU18790,yoaZ,0.964852851
BSU18800,penP,0.990707285
BSU18810,yobA,1.067228881
BSU18819,yozU,1.103933799
BSU18820,yobB,0.910497098
