Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
H,AbrB+,xynC,BSU18150,0,-0.9,0,0,-0.2,-0.2,-0.5,-1,-1.8,-1.5,-1.3,-1.6
H,AbrB+,xynD,BSU18160,0,-0.6,0.3,0.3,0.2,0.1,-0.4,-0.8,-1.9,-2.3,-1.5,-2.1
H,AbrB+,ybaJ,BSU01510,0,1.2,0.5,-0.4,-0.5,-1,-2.9,-2,-2.2,-0.2,-0.1,0.1
H,AbrB+,ybdN,BSU02040,0,2,2.2,1.2,0.6,-0.1,-1.7,-1.6,-2.9,-3,-2.6,-3
H,AbrB+,ybdO,BSU02050,0,0,-0.2,-2.3,-2.3,-2.9,-3.4,-3.3,-3.5,-3.4,-3.6,-3.3
H,AbrB+,ybfO,BSU02310,0,-1.2,-0.8,-2.8,-2.7,-3.1,-2.1,-3.8,-2.2,-2.5,-2.2,-2.8
H,AbrB+,ybfP,BSU02320,0,-1.1,-1.2,-2.2,-2.4,-2.6,-1.9,-2.6,-2.4,-1,-0.7,-1
H,AbrB+,ycbC,BSU02460,0,0.5,0.4,-0.2,-0.3,-0.2,0,-0.2,0.1,-0.3,0.1,-0.1
H,AbrB+,ycbD,BSU02470,0,0.3,0.3,-0.2,-0.3,-0.3,0,-0.4,-0.4,-0.4,-0.1,-0.2
H,AbrB+,ycbE,BSU02480,0,0.4,0.2,-0.1,-0.2,-0.1,-0.1,-0.4,-0.5,-0.1,0,-0.1
H,AbrB+,ycbF,BSU02490,0,0.8,0.4,-0.1,-0.2,-0.2,-0.1,-0.5,-0.5,-0.7,-0.4,-0.6
H,AbrB+,ycbG,BSU02500,0,0.9,0,-0.7,-1,-1.3,-1.2,-2.2,-2.4,0.9,0.9,1.3
H,AbrB+,ycbH,BSU02510,0,0.5,-0.1,-0.7,-1,-1,-0.5,-1.5,-1.5,-0.3,0.4,-0.5
H,AbrB+,ycbJ,BSU02520,0,-0.6,-0.6,-0.1,0.1,0.3,0.6,0.7,0.1,-1.4,-1.1,-1.5
H,AbrB+,ycdA,BSU02780,0,-0.7,0,0.1,0.8,1.1,-0.7,-0.6,-2.8,-1.9,-2,-2.1
H,AbrB+,ycnK,BSU03960,0,-2.8,2,-0.8,-1.3,-1.7,-1.8,-1.7,-2.4,0.8,0.4,0.5
H,AbrB+,yddJ,BSU04990,0,1.6,1.8,1,0.8,0.3,0.3,0.7,0.7,-1.9,-1.6,-1.4
H,AbrB+,yddT,BSU05100,0,0.3,0.1,-0.8,-0.9,-1,-1,-0.7,-0.4,0.3,0.4,0.6
H,AbrB+,ydeH,BSU05200,0,1.6,1.6,2.3,2.5,2,1.2,1.4,0.9,0.4,0.3,0.5
H,AbrB+,ydeJ,BSU05220,0,-0.1,0.6,-0.6,-1.1,-1.4,-1.1,-1.2,-1.1,-0.9,-0.5,-0.9
H,AbrB+,ydjG,BSU06190,0,-1,-2.6,-4.4,-4.8,-5.3,-4.9,-6,-5.6,-1.8,-1.5,-2.2
H,AbrB+,ydjH,BSU06200,0,-0.4,-2.3,-4.1,-4.5,-5.1,-5,-5.7,-5.6,-1.1,-0.8,-1.6
H,AbrB+,ydjI,BSU06210,0,-0.6,-2.2,-3.9,-4.2,-4.7,-4.3,-4.9,-4.3,-1.2,-1,-1.7
H,AbrB+,yerI,BSU06640,0,-0.6,0.4,-0.2,-0.3,-0.5,-0.7,-0.9,-1.4,-1.5,-1.5,-1.7
H,AbrB+,yflA,BSU07750,0,-1.8,-1.1,-1.9,-2.1,-2.2,-1.8,-2.3,-2.1,-2.1,-1.7,-1.9
H,AbrB+,yflB,BSU07735,0,0.2,0.4,0,0.7,1,2,1.9,1.7,-0.3,-0.3,-0.1
H,AbrB+,yfmG,BSU07480,0,3.5,4.1,2.7,2.4,0.5,-1.5,-1.2,-1.3,-2,-2.1,-2.2
H,AbrB+,yfmH,BSU07470,0,2.2,2.4,0.5,-0.6,-1.4,-2.2,-1.6,-1.3,-0.4,-0.4,-0.4
H,AbrB+,yhaP,BSU09900,0,-1.5,-1.4,-1.3,-1.6,-1.6,-2.8,-3.2,-3.6,-0.4,-0.7,-0.7
H,AbrB+,yhaQ,BSU09890,0,-1.2,-1.1,-1.2,-1.2,-1.4,-2.5,-2.6,-3.2,-0.6,-0.4,-0.6
H,AbrB+,yheJ,BSU09700,0,1.3,1.4,0.8,1.2,1,0.9,1.2,0.9,-2.1,-1.3,-0.9
H,AbrB+,yjdB,BSU11990,0,-0.7,3,1.9,0.5,-0.1,-0.3,0,-0.2,-3.8,-3.3,-3.9
H,AbrB+,yjdG,BSU12040,0,1.1,0.9,2.6,3.5,3.7,3.1,3,2.8,-0.4,-0.4,-0.4
H,AbrB+,yknW,BSU14340,0,-1.1,-1.2,-1,-0.8,-0.8,-0.4,-1.1,-0.6,-2,-1.5,-2.6
H,AbrB+,yknX,BSU14350,0,-1.1,-1.5,-1.4,-1.1,-1.5,-2.3,-2.5,-2.9,-1.7,-1.4,-2.2
H,AbrB+,yknY,BSU14360,0,-1,-1.4,-1.2,-1,-1.4,-1.7,-2.1,-2.6,-1.6,-1.4,-2.2
H,AbrB+,yknZ,BSU14370,0,-1.2,-1.5,-1.3,-1.2,-1.4,-1.4,-2,-2.3,-1.3,-1.4,-2.1
H,AbrB+,ykuU,BSU14220,0,0.5,1,1.7,2,1.5,1,1.3,0.7,-1,-1,-0.9
H,AbrB+,ykuV,BSU14230,0,0.5,1,1.5,1.7,1.2,1.1,1.3,0.9,-0.7,-0.9,-0.7
H,AbrB+,ylaE,BSU14750,0,-0.2,-0.2,-1,-1.5,-1.7,-2.1,-1.8,-1.8,-0.7,-0.6,-0.6
H,AbrB+,ylbA,BSU14940,0,0.7,1.8,1.9,1.8,1.3,1.2,1.3,1.2,-2.6,-2.1,-2
H,AbrB+,ylqB,BSU15960,0,-0.5,-0.4,-2.3,-1.9,-3,-3,-3.1,-3.3,-6.4,-6.1,-5.9
H,AbrB+,ymaE,BSU17250,0,0.9,1.6,0.3,-0.5,-1.1,-1.6,-1.8,-1.9,-2.1,-1.7,-2
H,AbrB+,ymzB,BSU17240,0,0.7,1.3,1.5,2.5,2.9,3.2,3.2,2.9,-2.3,-2.3,-2.7
H,AbrB+,yncM,BSU17690,0,0.1,1.2,-0.2,-0.4,-1,-1.1,-1,-1.2,-3.1,-2.7,-2.8
H,AbrB+,ynzD,BSU17920,0,0.9,1.6,0.6,0.5,-0.2,-0.5,0.5,0.1,-0.6,-0.8,-0.2
H,AbrB+,yoaW,BSU18780,0,1.2,3,3.8,3.9,3.7,3.3,3.4,3.2,0.2,0,-0.1
