Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
A,SigE+,yxeD,BSU39590,0,0.1,0,1.7,5,7.2,6.9,6.8,7.1,-0.1,0,0.1
A,SigE+,yybI,BSU40630,0,0.4,1.3,3.9,4.2,4.5,3.9,3.6,3.3,-0.4,0.1,0
A,SigE+,yycN,BSU40290,0,0.8,1,3.9,4.6,4.5,4.4,4.1,3.8,-0.1,0.5,0.4
A,SigE+,yycO,BSU40280,0,1.1,2.1,3.5,4.1,4.8,6.2,6.7,7.3,-0.6,-0.5,-0.5
B,SigF+,arsB,BSU25790,0,-0.7,-1.1,1.8,1.6,1.1,1.5,1.1,1.2,0.2,0.1,0.3
B,SigF+,arsC,BSU25780,0,-0.9,-1.1,1.9,2,1.5,1.8,1.4,1.7,0,-0.2,0.1
B,SigF+,arsR,BSU25810,0,0.2,-0.2,0,0,0.4,0.4,0.8,1.3,0.4,0.5,1.1
B,SigF+,bofC,BSU27750,0,-1.1,-0.9,2.1,2,1.8,2.1,2,2.1,-1.4,-0.6,-1.5
B,SigF+,csbX,BSU27760,0,-1,-0.7,-1.5,-1.5,-1.1,-1.4,-1.7,-2.5,-2.2,-1.2,-2.6
B,SigF+,csfG,no locus tag,0,-0.7,-1,-1.1,-0.8,-1.7,-1.7,-1.3,-1.3,0.6,0.3,0.5
B,SigF+,dacF,BSU23480,0,-0.5,0.6,7.1,7.3,6.7,6.3,6.6,6.4,0,-0.2,0.1
B,SigF+,gerAA,BSU33050,0,0.1,0.1,2.2,4,4.4,4.4,4.3,4.1,0.5,0.6,0.7
B,SigF+,gerAB,BSU33060,0,0.3,0,2.3,4.3,4.4,4.6,4.5,4.5,1.1,0.6,1
B,SigF+,gerAC,BSU33070,0,0,-0.1,1.9,3.7,3.9,4.1,3.9,3.8,0.5,0.4,0.5
B,SigF+,gerD,BSU01550,0,-0.1,0.3,3.6,5.4,6.5,6.3,6.3,6.8,0.7,0.7,0.9
B,SigF+,gin ,BSU00240,0,-1,-0.8,1.3,1,2.7,3.2,2.7,2.8,1,0.3,0.8
B,SigF+,ksgA,BSU00420,0,0,0.1,0.4,0.4,0.4,0.5,-0.1,0,2.7,2.3,2.8
B,SigF+,lonB,BSU28210,0,-0.7,0.3,5.7,5.5,4.7,4.9,4.7,4.5,0,0,0.3
B,SigF+,mcsA,BSU00840,0,1,0.9,0.8,0.5,0.4,0.6,0.3,0.6,1,1,1
