Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
A,SigH+,epsK,BSU34265,0,-1.4,-0.2,0,-1.2,-2.5,-3.1,-3.3,-3.4,-2.6,-1.9,-2.3
A,SigH+,epsL,BSU34250,0,-1.4,0.1,0.2,-1,-2.5,-3.1,-3.3,-3.3,-2.7,-2,-2.5
A,SigH+,epsM,BSU34240,0,-1.3,0.2,0.5,-0.6,-2.2,-3,-2.9,-2.9,-2.9,-2.4,-2.5
A,SigH+,epsN,BSU34230,0,-1.2,0.3,0.5,-0.5,-2.3,-3.1,-3.4,-3.3,-3,-2.4,-2.7
A,SigH+,ftsA,BSU15280,0,0.5,0.8,-0.4,-0.6,-1.3,-2.5,-2.1,-3.3,-0.1,-0.2,-0.2
A,SigH+,ftsZ,BSU15290,0,0.6,1,-0.1,-0.5,-1,-1.8,-1.3,-2.2,0,-0.4,-0.2
A,SigH+,galM,BSU18360,0,0.5,1.9,0.8,0.5,0.2,-0.1,0.1,-0.3,-3.3,-2.7,-3.1
A,SigH+,glgA,BSU30950,0,0.2,4.6,5.8,5.5,5.1,4.6,4.2,4,0.2,0.4,0.3
A,SigH+,glgB,BSU30980,0,0.5,5.2,6.4,6.4,6.1,5.4,5.3,5,0.8,0.9,1
A,SigH+,glgC,BSU30970,0,0.3,5.1,6.3,6.1,5.9,5.4,5,4.8,0.8,0.6,0.7
A,SigH+,glgD,BSU30960,0,0.2,4.8,6,5.7,5.4,4.9,4.5,4.3,0.1,0.3,0.3
A,SigH+,glgP,BSU30940,0,0.1,4.4,5.5,5.2,4.7,4.1,4,3.6,0.4,0.4,0.4
A,SigH+,gltP,BSU02340,0,1,1.9,0.5,0.8,0.9,1.3,0.2,0.6,-2.5,-1.6,-2.3
A,SigH+,hbs,BSU22790,0,0.3,0.2,0.2,0.1,-0.8,-1.5,-0.9,-1.4,0.2,0.2,0.4
A,SigH+,hfq,BSU17340,0,1,1.7,0.7,1,0.5,-0.3,0,-0.5,-2.1,-2.4,-2.3
A,SigH+,kinE,BSU13530,0,1.3,2.3,0.8,0.3,-0.1,-0.8,-0.3,-0.8,-2.5,-2.4,-2.4
A,SigH+,minC,BSU28000,0,0,-0.4,-1.7,-2.2,-2.6,-2.8,-3,-3.3,0.8,0.7,0.6
A,SigH+,minD,BSU27990,0,-0.1,-0.2,-1.7,-2.2,-2.5,-2.7,-2.9,-3.3,0.8,0.4,0.5
A,SigH+,phrC,BSU03780,0,0.5,1.2,1.5,1.6,1.8,1.4,1.6,1.1,-1.9,-1.9,-2.4
A,SigH+,phrE,BSU25840,0,0.8,1.5,1.1,1.2,0.5,0.4,0.8,0.8,-2.4,-2.2,-2.5
A,SigH+,phrF,BSU37470,0,1,1.4,1.6,1.6,1.5,1.3,1.5,1.4,-4,-3.5,-3.2
A,SigH+,phrG,BSU40310,0,1.3,2.1,1.6,1.9,1.9,1.3,1.4,1.3,-2.2,-1.7,-1.7
A,SigH+,phrI,BSU05020,0,0.7,0.6,1.1,2,1.7,1.7,2.1,2.1,-1.8,-1.9,-1.6
A,SigH+,phrK,BSU18920,0,0.6,1.9,0.8,1,0.3,-1.1,0.2,-1.2,-4.4,-4.1,-4.2
A,SigH+,rapG,BSU40300,0,1.1,1,0.2,-0.4,-1,-0.8,-0.5,-0.5,-0.8,-0.3,-0.7
A,SigH+,rapK,BSU18910,0,1.9,1.6,0.5,-0.1,-1.1,-2.5,-0.8,-1.2,-3.1,-2.9,-3.2
A,SigH+,sigH,BSU00980,0,0.9,1,-0.1,-0.3,-0.8,-2.1,-1.3,-2.2,-0.7,-0.5,-0.6
A,SigH+,spo0M,BSU08760,0,-1.4,-2.2,-2.4,-1.8,-1.5,-0.7,-1.8,-0.6,-0.7,-0.6,-1
A,SigH+,spoVG,BSU00490,0,1.1,1.1,1,1,0.7,0.1,0.8,0.4,-4.4,-3.9,-4.1
A,SigH+,spoVS,BSU16980,0,0.7,0.5,1.7,1.9,1.9,1.8,1.7,1.6,-1.7,-1.8,-1.7
A,SigH+,ureA,BSU36660,0,3.9,3.2,1.9,1.3,0.5,1,-0.6,-0.1,-1.9,-1.7,-1.8
A,SigH+,ureB,BSU36650,0,4,3.2,2,1.3,0.5,1,-0.6,-0.1,-1.4,-1,-1.1
A,SigH+,ureC,BSU36640,0,3.4,2.6,1.5,0.7,0.2,0.8,-0.8,-0.3,-0.1,-0.1,0.2
A,SigH+,vpr,BSU38090,0,4.7,5.9,5.3,4.8,4.4,3.9,3.6,3.6,-1.1,-0.8,-0.9
A,SigH+,ycsN,BSU04150,0,-0.3,0.2,-1.3,-1.7,-2.1,-1.8,-2.5,-2.7,-0.8,-1,-1
A,SigH+,yesL,BSU06940,0,0.9,0.7,0.2,0.9,1.3,1.6,0.7,0,-2.1,-0.7,-2.2
A,SigH+,yesM,BSU06950,0,0.9,0.4,0.1,0.9,1.5,1.5,1.1,0.7,-1.9,-0.7,-1.8
