BSU22660,trpC,NA,NA,
BSU01130,tufA,tuf,8788,
BSU29670,tyrS,BSU29670,276,
BSU38460,tyrZ,tyrT,6.5,
BSU36230,ugd,ywqF,13.2,
BSU31150,uppP,upk,81,
BSU36430,usd,NA,NA,
BSU35170,uvrB,"dinA,uvr",39.2,54.7 in B. anthracis
BSU40390,walH,yycH,42.5,
BSU00110,yaaD,pdxS,1838,
BSU00120,yaaE,pdxT,460,
BSU27700,yajC,yrbF,4710,
BSU01520,ybaK,ybxH,3.38,
BSU02080,ybxH,BSU02080,4.78,
BSU02480,ycbE,gudP,1.68,
BSU02490,ycbF,gudD,4.68,
BSU02510,ycbH,garD,3.27,
BSU03100,ycgG,NA,NA,
BSU03210,ycgN,putC,142,
BSU04040,ycsE,NA,NA,
BSU05200,ydeH,NA,NA,
BSU05560,ydgA,NA,NA,
BSU06850,yeeK,NA,NA,
BSU06930,yesK,NA,NA,
BSU07790,yfkQ,NA,4.13,
BSU07780,yfkR,NA,6.91,
BSU07735,yflB,NA,NA,
BSU07470,yfmH,NA,NA,
BSU08910,yhbA,queG,8.29,
BSU08920,yhbB,ygaQ,NA,
BSU09230,yhcV,NA,NA,
BSU10550,yhjL,ntdA,17.4,
BSU10940,yitC,comB,2.91,
BSU11139,yizC,yizC,NA,
BSU11790,yjcA,NA,NA,
BSU11809,yjcZ,NA,NA,
BSU12350,yjmF,uxuB,7.22,
BSU13010,ykgB,pgl,691,
BSU14250,yknT,cse15,14.7,
BSU13400,ykoU,ligd,4.04,
BSU13410,ykoV,ku,4.03,
BSU13290,ykzD,NA,NA,
BSU13509,ykzP,ykzP,NA,
BSU14830,ylaM,glsA2,9.9,
BSU16590,ylxS,rimP,554,
BSU16960,ymdA,rny,354,
BSU16825,ymfD,ymfE,NA,
BSU18620,yoaI,NA,NA,
BSU18670,yoaN,oxdD,1.41,
BSU19110,yobW,csk22,3.76,
BSU19810,yodU,"ypqP,spsM",NA,
BSU19510,yojB,NA,NA,
BSU19500,yojC,NA,NA,
BSU21580,yokI,yotM,6.99,
BSU21570,yokJ,BSU21570,56.7,
BSU18710,yozF,NA,7.31,
BSU21670,ypqP,"yodU,conflict",NA,
