geneP,locus_tag,locus_tag2,gene1,gene3,gene4,gene5
yfjT,BSU07970,,,,,
pdaA,BSU07980,,yfjS,,,
yfjR,BSU07990,,,,,
yfjQ,BSU08000,,,,,
yfjP,BSU08010,,,,,
yfjO,BSU08020,,,,,
yfzA,BSU08029,,,,,
dus2,BSU08030,,yfjN,,,
yfjM,BSU08040,,,,,
yfjL,BSU08050,,yztA,,,
acoA,BSU08060,,yfjK,,,
acoB,BSU08070,,yfjJ,,,
acoC,BSU08080,,yfjI,,,
acoL,BSU08090,,yfjH,,,
acoR,BSU08100,,yfjG,yzcB,,
sspH,BSU08110,,yfjU,,,
yfjF,BSU08120,,,,,
yfjE,BSU08130,,,,,
yfjD,BSU08140,,,,,
yfjC,BSU08150,,,,,
yfjB,BSU08160,,,,,
yfjA,BSU08170,,,,,
glvA,BSU08180,,glv-1,glvG,malA,
glvR,BSU08190,,yfiA,,,
malP,BSU08200,,glv-2,glvC,glvCB,yfiB
yfiB,BSU08210,,,,,
yfiC,BSU08220,,,,,
catD,BSU08230,,yfiD,,,
catE,BSU08240,,yfiE,,,
yfiF,BSU08250,,,,,
yfiG,BSU08260,,,,,
yfiH,BSU08270,,,,,
yfiI,BSU08280,,,,,
lnrJ,BSU08290,,linJ,yfiJ,,
lnrK,BSU08300,,linK,yfiK,,
lnrL,BSU08310,,bifL,yfiL,,
lnrM,BSU08320,,bifM,yfiM,,
lnrN,BSU08330,,bifN,yfiN,,
padR,BSU08340,,yfiO,,,
estB,BSU08350,,lipB,yfiP,,
yfiQ,BSU08360,,,,,
yfiR,BSU08370,,,,,
yfiS,BSU08380,,,,,
yfiT,BSU08390,,,,,
yfiU,BSU08400,,,,,
yfiV,BSU08410,,,,,
mprF,BSU08425,,yfiW,yfiX,,
yfiY,BSU08440,,,,,
yfiZ,BSU08450,,,,,
yfhA,BSU08460,,,,,
yfhB,BSU08470,,,,,
yfhC,BSU08480,,,,,
yfhD,BSU08490,,,,,
yfhE,BSU08500,,,,,
yfhF,BSU08510,,,,,
recX,BSU08520,,yfhG,,,
yfhH,BSU08530,,,,,
yfhI,BSU08540,,,,,
sspK,BSU08550,,,,,
yfhJ,BSU08560,,,,,
yfhK,BSU08570,,,,,
yfhL,BSU08580,,,,,
yfhM,BSU08590,,,,,
csbB,BSU08600,,yfhN,,,
yfhO,BSU08610,,,,,
yfhP,BSU08620,,,,,
mutY,BSU08630,,yfhQ,,,
yfhS,BSU08640,,,,,
fabL,BSU08650,,yfhR,ygaA,,
sspE,BSU08660,,,,,
ygaB,BSU08670,,,,,
ygaC,BSU08680,,,,,
ygaD,BSU08690,,,,,
ygaE,BSU08700,,,,,
gsaB,BSU08710,,,,,
ygaF,BSU08720,,bcp,,,
perR,BSU08730,,ygaG,,,
ygzB,BSU08740,,,,,
ygxA,BSU08750,,,,,
spo0M,BSU08760,,ygaI,,,
ygzA,BSU08770,,,,,
ygzC,BSU08779,,,,,
ygaJ,BSU08780,,,,,
thiC,BSU08790,,thiA,,,
ygaK,BSU08800,,,,,
senS,BSU08810,,,,,
katA,BSU08820,,kat,kat-19,,
ssuB,BSU08830,,ycbE,ygaL,,
ssuA,BSU08840,,ygbA,yzeA,,
ssuC,BSU08850,,ygaM,yzeB,,
ssuD,BSU08860,,ygcA,yzeC,,
ygaN,BSU08870,,,,,
rpsN2,BSU08880,,rpsNB,yhzA,,
ygaO,BSU08890,,,,,
ygzD,BSU08899,,,,,
yhzB,BSU08900,,,,,
queG,BSU08910,,ygaP,yhbA,,
yhbB,BSU08920,,ygaQ,,,
cspR,BSU08930,,ygaR,,,
yhbD,BSU08940,,ygaS,,,
yhbE,BSU08950,,ygaT,yzdA,,
yhbF,BSU08960,,yzdB,,,
prkA,BSU08970,,,,,
yhbH,BSU08980,,yzdC,,,
yhbI,BSU08990,,,,,
yhbJ,BSU09000,,,,,
yhcA,BSU09010,,,,,
yhcB,BSU09020,,,,,
yhcC,BSU09030,,,,,
yhcD,BSU09040,,,,,
yhcE,BSU09050,,,,,
yhcF,BSU09060,,,,,
yhcG,BSU09070,,,,,
yhcH,BSU09080,,,,,
yhcI,BSU09090,,,,,
cspB,BSU09100,,cspA,,,
yhcJ,BSU09110,,,,,
yhcK,BSU09120,,,,,
tcyP,BSU09130,,yhcL,,,
yhcM,BSU09140,,,,,
yhcN,BSU09150,,,,,
yhcO,BSU09165,,,,,
yhcQ,BSU09180,,,,,
yhcR,BSU09190,,,,,
srtD,BSU09200,,srtA,yhcS,,
yhcT,BSU09210,,,,,
yhcU,BSU09220,,,,,
yhcV,BSU09230,,,,,
yhcW,BSU09240,,,,,
yhcX,BSU09250,,,,,
yhxA,BSU09260,,,,,
glpP,BSU09270,,glpP1,,,
glpF,BSU09280,,,,,
glpK,BSU09290,,,,,
glpD,BSU09300,,,,,
pgcA,BSU09310,,gtaC,gtaE,yhxB,
yhcY,BSU09320,,,,,
yhcZ,BSU09330,,,,,
azr,BSU09340,,yhdA,,,
yhdB,BSU09350,,,,,
yhdC,BSU09360,,,,,
lytF,BSU09370,,cwlE,yhdD,,
nsrR,BSU09380,,yhdE,,,
ygxB,BSU09390,,,,,
spoVR,BSU09400,,,,,
phoA,BSU09410,,phoAIV,,,
lytE,BSU09420,,cwlF,papQ,,
citR,BSU09430,,,,,
citA,BSU09440,,,,,
yhdF,BSU09450,,,,,
yhdG,BSU09460,,,,,
yhdH,BSU09470,,,,,
yhdI,BSU09480,,,,,
yhdJ,BSU09490,,,,,
yhdK,BSU09500,,,,,
yhdL,BSU09510,,,,,
sigM,BSU09520,,yhdM,,,
yhdN,BSU09530,,,,,
plsC,BSU09540,,yhdO,,,
yhdP,BSU09550,,,,,
cueR,BSU09560,,yhdQ,,,
yhdR,BSU09570,,,,,
yhdT,BSU09590,,,,,
crcB1,BSU09600,,yhdU,,,
crcB2,BSU09610,,yhdV,,,
yhdW,BSU09620,,,,,
yhdX,BSU09630,,,,,
yhdY,BSU09640,,,,,
cobB,BSU09650,,yhdZ,,,
yheN,BSU09660,,,,,
dat,BSU09670,,yheM,,,
nhaC,BSU09680,,yheL,,,
nhaX,BSU09690,,yheK,,,
yheJ,BSU09700,,,,,
yheI,BSU09710,,,,,
yheH,BSU09720,,,,,
yheG,BSU09730,,,,,
yheF,BSU09740,,,,,
sspB,BSU09750,,,,,
yheE,BSU09760,,,,,
yheD,BSU09770,,,,,
yheC,BSU09780,,,,,
yheB,BSU09790,,,,,
yheA,BSU09800,,,,,
yhaZ,BSU09810,,,,,
yhaX,BSU09830,,,,,
hemZ,BSU09840,,yhaV,yhaW,,
khtU,BSU09850,,yhaU,,,
khtT,BSU09860,,yhaT,,,
khtS,BSU09870,,yhaS,,,
yhaR,BSU09880,,,,,
yhzD,BSU09889,,,,,
yhaQ,BSU09890,,,,,
yhaP,BSU09900,,,,,
yhaO,BSU09910,,,,,
yhaN,BSU09920,,,,,
yhaM,BSU09930,,,,,
yhaL,BSU09940,,,,,
prsA,BSU09950,,,,,
sscA,BSU09958,,yhzE,,,
yhaJ,BSU09965,,,,,
yhaI,BSU09980,,,,,
hpr,BSU09990,,catA,scoC,,
yhaH,BSU10000,,,,,
yhzF,BSU10009,,,,,
trpP,BSU10010,,,,,
serC,BSU10020,,yhaF,,,
hit,BSU10030,,yhaE,,,
ecsA,BSU10040,,prsT,yhaD,,
ecsB,BSU10050,,prsT,yhaC,,
ecsC,BSU10060,,prsT,yhaB,,
yhaA,BSU10070,,,,,
yhfA,BSU10080,,,,,
yhgB,BSU10090,,yixB,,,
hmoB,BSU10100,,yhgC,yixC,,
pbpF,BSU10110,,ponA,,,
hemE,BSU10120,,,,,
cpfC,BSU10130,,hemF,hemH,,
cgoX,BSU10140,,hemG,hemY,,
yhgD,BSU10150,,yixD,,,
yhgE,BSU10160,,yixE,,,
fabHB,BSU10170,,fabH2,yhfB,,
yhfC,BSU10180,,,,,
yhfE,BSU10200,,,,,
yhfF,BSU10210,,,,,
gltT,BSU10220,,yhfG,,,
yhfH,BSU10230,,,,,
yhfI,BSU10240,,,,,
lplJ,BSU10250,,yhfJ,,,
yhfK,BSU10260,,,,,
lcfB,BSU10270,,yhfL,,,
yhfM,BSU10280,,,,,
yhfN,BSU10290,,yzoA,,,
aprE,BSU10300,,apr,aprA,sprE,
yhfO,BSU10310,,,,,
yhfP,BSU10320,,,,,
yhfQ,BSU10330,,,,,
phoE,BSU10340,,yhfR,,,
yhfS,BSU10350,,,,,
yhfT,BSU10360,,,,,
bioY,BSU10370,,yhfU,,,
hemAT,BSU10380,,yhfV,,,
yhfW,BSU10390,,,,,
yhxC,BSU10400,,,,,
yhzC,BSU10410,,,,,
comK,BSU10420,,,,,
yhxD,BSU10430,,,,,
yhjA,BSU10440,,,,,
yhjB,BSU10450,,,,,
yhjC,BSU10460,,,,,
yhjD,BSU10470,,,,,
yhjE,BSU10480,,,,,
sipV,BSU10490,,yhjF,,,
yhjG,BSU10500,,,,,
yhjH,BSU10510,,,,,
glcP,BSU10520,,glcT1,yhjI,,
ntdC,BSU10530,,yhjJ,,,
ntdB,BSU10540,,yhjK,,,
ntdA,BSU10550,,yhjL,,,
ntdR,BSU10560,,yhjM,,,
yhjN,BSU10570,,,,,
yhjO,BSU10580,,,,,
yhjP,BSU10590,,,,,
yhjQ,BSU10600,,,,,
yhjR,BSU10610,,,,,
addB,BSU10620,,,,,
addA,BSU10630,,,,,
sbcD,BSU10640,,yixA,,,
sbcC,BSU10650,,yirY,,,
yisB,BSU10660,,,,,
gerPF,BSU10670,,yisC,,,
gerPE,BSU10680,,yisD,,,
gerPD,BSU10690,,yisE,,,
gerPC,BSU10700,,yisF,,,
gerPB,BSU10710,,yisG,,,
gerPA,BSU10720,,yisH,,,
yisI,BSU10730,,,,,
yisJ,BSU10740,,,,,
yisK,BSU10750,,,,,
yisL,BSU10760,,,,,
wprA,BSU10770,,yisM,,,
yisN,BSU10780,,yucA,,,
asnO,BSU10790,,yisO,yucB,,
yizA,BSU10800,,yucC,,,
yisP,BSU10810,,yucD,,,
yisQ,BSU10820,,yucE,,,
yisR,BSU10830,,yucF,yuxC,,
degA,BSU10840,,,,,
iolX,BSU10850,,yisS,yucG,yuxD,
yisT,BSU10860,,yucH,,,
yisU,BSU10870,,,,,
yisV,BSU10880,,,,,
yisX,BSU10890,,,,,
yisY,BSU10900,,,,,
yisZ,BSU10910,,,,,
yitA,BSU10920,,,,,
cysH1,BSU10930,,yitB,,,
comB,BSU10940,,yitC,,,
yitD,BSU10950,,,,,
yitE,BSU10960,,,,,
yitF,BSU10970,,,,,
yitG,BSU10980,,,,,
yitH,BSU10990,,,,,
yitI,BSU11000,,,,,
yitJ,BSU11010,,,,,
yitK,BSU11020,,,,,
yitL,BSU11030,,,,,
yitM,BSU11040,,,,,
yitO,BSU11055,,,,,
yitP,BSU11070,,,,,
yizB,BSU11079,,,,,
yitQ,BSU11080,,,,,
yitR,BSU11090,,,,,
nprB,BSU11100,,,,,
yitS,BSU11110,,,,,
yitT,BSU11120,,yuxA,,,
ipi,BSU11130,,,,,
yizC,BSU11139,,,,,
yitU,BSU11140,,,,,
yitV,BSU11150,,,,,
yitW,BSU11160,,,,,
yitY,BSU11170,,,,,
yitZ,BSU11180,,,,,
argC,BSU11190,,,,,
argJ,BSU11200,,,,,
argB,BSU11210,,,,,
argD,BSU11220,,,,,
carA,BSU11230,,cpaA,,,
carB,BSU11240,,cpaB,,,
argF,BSU11250,,,,,
yjzC,BSU11260,,,,,
yjzD,BSU11270,,,,,
yjaU,BSU11280,,,,,
yjaV,BSU11290,,,,,
med,BSU11300,,,,,
comZ,BSU11310,,,,,
yjzB,BSU11320,,,,,
fabHA,BSU11330,,fabH,fabH1,yjaX,
fabF,BSU11340,,yjaY,,,
yjaZ,BSU11350,,,,,
appD,BSU11360,,,,,
appF,BSU11370,,,,,
appA,BSU11381,BSU11382,,,,
appB,BSU11390,,,,,
appC,BSU11400,,,,,
yjbA,BSU11410,,,,,
trpS,BSU11420,,,,,
oppA,BSU11430,,spo0KA,,,
oppB,BSU11440,,spo0KB,,,
oppC,BSU11450,,spo0KC,,,
oppD,BSU11460,,spo0KD,,,
oppF,BSU11470,,spo0KE,,,
yjbB,BSU11480,,,,,
yjbC,BSU11490,,,,,
spx,BSU11500,,spxA,yjbD,,
yjbE,BSU11510,,,,,
mecA,BSU11520,,,,,
coiA,BSU11530,,yjbF,,,
yjbG,BSU11540,,,,,
yizD,BSU11549,,,,,
spxH,BSU11550,,yjbH,,,
yjbI,BSU11560,,,,,
yjbJ,BSU11570,,,,,
yjbK,BSU11580,,,,,
yjbL,BSU11590,,,,,
yjbM,BSU11600,,,,,
ppnKA,BSU11610,,nadF,yjbN,,
yjbO,BSU11620,,,,,
prpE,BSU11630,,yjbP,,,
yjbQ,BSU11640,,,,,
tenA,BSU11650,,,,,
tenI,BSU11660,,,,,
thiO,BSU11670,,goxB,yjbR,,
thiS,BSU11680,,yjbS,,,
thiG,BSU11690,,yjbT,,,
thiF,BSU11700,,yjbU,,,
thiD,BSU11710,,yjbV,,,
fabI,BSU11720,,yjbW,,,
cotO,BSU11730,,yjbX,,,
cotZ,BSU11740,,,,,
cotY,BSU11750,,,,,
cotX,BSU11760,,,,,
cotW,BSU11770,,,,,
cotV,BSU11780,,,,,
yjcA,BSU11790,,,,,
yjzK,BSU11799,,,,,
yjcZ,BSU11809,,,,,
spoVIF,BSU11810,,yjcC,,,
yjcD,BSU11820,,,,,
yjzE,BSU11839,,,,,
yjcF,BSU11840,,,,,
yjcG,BSU11850,,,,,
yjcH,BSU11860,,,,,
metI,BSU11870,,yjcI,,,
metC,BSU11880,,yjcJ,,,
yjcK,BSU11890,,,,,
yjcL,BSU11900,,,,,
yjcM,BSU11910,,,,,
yjcN,BSU11920,,,,,
yjzF,BSU11928,,,,,
yjzG,BSU11929,,,,,
yjcO,BSU11930,,,,,
yjcP,BSU11940,,,,,
yjcQ,BSU11950,,,,,
yjcR,BSU11960,,,,,
yjcS,BSU11970,,,,,
yjdA,BSU11980,,,,,
yjdB,BSU11990,,,,,
manR,BSU12000,,,,,
manP,BSU12010,,yjdD,,,
manA,BSU12020,,pmi,yjdE,,
yjdF,BSU12030,,,,,
yjdG,BSU12040,,,,,
yjdH,BSU12050,,,,,
yjdI,BSU12060,,,,,
yjzH,BSU12069,,,,,
yjdJ,BSU12070,,,,,
ctaB1,BSU12080,,ctaO,,,
cotT,BSU12090,,,,,
pdaC,BSU12100,,yjeA,,,
yjfA,BSU12110,,,,,
yjfB,BSU12120,,,,,
yjfC,BSU12130,,,,,
yjgA,BSU12140,,,,,
yjgB,BSU12150,,,,,
yjgC,BSU12160,,,,,
yjgD,BSU12170,,,,,
yjhA,BSU12180,,,,,
yjhB,BSU12190,,,,,
yjiA,BSU12200,,,,,
yjiB,BSU12210,,,,,
yjiC,BSU12220,,,,,
yjzI,BSU12229,,,,,
yjjA,BSU12230,,,,,
yjkA,BSU12240,,,,,
yjkB,BSU12250,,,,,
yjlA,BSU12260,,,,,
yjlB,BSU12270,,,,,
yjlC,BSU12280,,,,,
yjlD,BSU12290,,,,,
uxaC,BSU12300,,yjmA,,,
yjmB,BSU12310,,,,,
yjmC,BSU12320,,,,,
yjmD,BSU12330,,,,,
uxuA,BSU12340,,yjmE,,,
uxuB,BSU12350,,yjmF,,,
exuT,BSU12360,,yjmG,,,
exuR,BSU12370,,yjmH,,,
uxaB,BSU12380,,yjmI,,,
uxaA,BSU12390,,yjmJ,,,
yjnA,BSU12400,,,,,
yjoA,BSU12410,,,,,
yjoB,BSU12420,,,,,
rapA,BSU12430,,gsiAA,spo0L,,
phrA,BSU12440,,gsiAB,,,
yjpA,BSU12450,,,,,
xlyB,BSU12460,,yjpB,,,
yjqA,BSU12470,,,,,
yjqB,BSU12480,,,,,
yjqC,BSU12490,,,,,
xkdA,BSU12500,,ykxA,,,
xre,BSU12510,,,,,
yjzJ,BSU12519,,,,,
xkdB,BSU12520,,ykxB,,,
xkdC,BSU12530,,ykxC,,,
ykzK,BSU12539,,,,,
xkdD,BSU12540,,ykxD,,,
xtrA,BSU12550,,,,,
xpf,BSU12560,,pcf,ykxE,,
xtmA,BSU12570,,ykxF,,,
xtmB,BSU12580,,ykxG,,,
xkdE,BSU12590,,,,,
xkdF,BSU12600,,,,,
xkdG,BSU12610,,,,,
ykzL,BSU12619,,,,,
xkdH,BSU12620,,,,,
xkdI,BSU12630,,,,,
xkdJ,BSU12640,,,,,
ykzM,BSU12649,,,,,
xkdK,BSU12650,,,,,
xkdM,BSU12660,,,,,
xkdN,BSU12670,,,,,
xkzB,BSU12672,,,,,
xkdO,BSU12680,,,,,
xkdP,BSU12690,,,,,
xkdQ,BSU12700,,,,,
xkdR,BSU12710,,,,,
xkdS,BSU12720,,,,,
xkdT,BSU12730,,,,,
xkdU,BSU12740,,,,,
xkzA,BSU12749,,,,,
xkdV,BSU12750,,,,,
xkdW,BSU12760,,,,,
xkdX,BSU12770,,,,,
xepA,BSU12780,,xkdY,,,
xhlA,BSU12790,,,,,
xhlB,BSU12800,,xpaB,,,
xlyA,BSU12810,,,,,
spoIISB,BSU12820,,,,,
spoIISA,BSU12830,,ykaC,,,
pit,BSU12840,,ykaB,,,
ykaA,BSU12850,,,,,
steT,BSU12860,,ykbA,,,
mhqA,BSU12870,,ykcA,,,
ykcB,BSU12880,,,,,
ykcC,BSU12890,,,,,
htrA,BSU12900,,ykdA,,,
proG,BSU12910,,ykeA,yzcA,,
dppA,BSU12920,,dciAA,,,
dppB,BSU12930,,dciAB,,,
dppC,BSU12940,,dciAC,,,
dppD,BSU12950,,dciAD,,,
dppE,BSU12960,,dciAE,,,
ykfA,BSU12970,,,,,
ykfB,BSU12980,,,,,
ykfC,BSU12990,,,,,
ykfD,BSU13000,,,,,
pgl,BSU13010,,ykgB,,,
ykgA,BSU13020,,,,,
ykhA,BSU13030,,,,,
hmp,BSU13040,,ane3,ykiA,,
ykzH,BSU13050,,,,,
ykjA,BSU13060,,,,,
ykkA,BSU13070,,,,,
ykkB,BSU13080,,,,,
gdnC,BSU13090,,ykkC,,,
gdnD,BSU13100,,ykkD,,,
purU,BSU13110,,ykkE,,,
proB,BSU13120,,,,,
proA,BSU13130,,,,,
ohrA,BSU13140,,yklA,,,
ohrR,BSU13150,,ykmA,,,
ohrB,BSU13160,,ykzA,yzzE,,
ykzN,BSU13169,,,,,
guaD,BSU13170,,gde,,,
metE,BSU13180,,metC,,,
isp,BSU13190,,ispA,,,
rsbRB,BSU13200,,ykoB,,,
ykoC,BSU13210,,,,,
ykoD,BSU13220,,,,,
ykoE,BSU13230,,,,,
ykoF,BSU13240,,,,,
ykoG,BSU13250,,,,,
ykoH,BSU13260,,,,,
ykoI,BSU13270,,,,,
ykoJ,BSU13280,,,,,
ykzD,BSU13290,,,,,
mgtE,BSU13300,,ykoK,,,
tnrA,BSU13310,,scgR,,,
ykzB,BSU13320,,,,,
ykoL,BSU13330,,,,,
ykoM,BSU13340,,,,,
ykoN,BSU13350,,,,,
ykoP,BSU13360,,,,,
ykoQ,BSU13370,,,,,
ykoS,BSU13380,,ykoR,,,
ykoT,BSU13390,,,,,
ligd,BSU13400,,ykoU,,,
ku,BSU13410,,ykoV,,,
ykoW,BSU13420,,,,,
ykoX,BSU13430,,,,,
ykoY,BSU13440,,,,,
sigI,BSU13450,,ykoZ,,,
rsgI,BSU13460,,ykrI,,,
sspD,BSU13470,,,,,
ykrK,BSU13480,,,,,
htpX,BSU13490,,ykrL,,,
ktrD,BSU13500,,ykrM,,,
ykzP,BSU13509,,,,,
ykzE,BSU13510,,,,,
ykrP,BSU13520,,,,,
kinE,BSU13530,,ykrQ,,,
ogt,BSU13540,,dat,dat1,,
mtnA,BSU13550,,ykrS,,,
mtnK,BSU13560,,ykrT,,,
mtnU,BSU13570,,ykrU,,,
mtnE,BSU13580,,mtnV,ykrV,,
mtnW,BSU13590,,ykrW,,,
mtnX,BSU13600,,ykrX,,,
mtnB,BSU13610,,ykrY,,,
mtnD,BSU13620,,ykrZ,,,
ykvA,BSU13630,,,,,
spo0E,BSU13640,,,,,
eag,BSU13650,,ykvC,,,
kinD,BSU13660,,ykvD,,,
mhqR,BSU13670,,ykvE,,,
motB,BSU13680,,,,,
motA,BSU13690,,,,,
clpE,BSU13700,,,,,
ykvI,BSU13710,,,,,
queC,BSU13720,,ykvJ,,,
queD,BSU13730,,ykvK,,,
queE,BSU13740,,ykvL,,,
queF,BSU13750,,ykvM,,,
ykvN,BSU13760,,,,,
ykvO,BSU13770,,,,,
ykvP,BSU13780,,,,,
ykzQ,BSU13789,,,,,
ykvQ,BSU13790,,,,,
ykzR,BSU13799,,,,,
ykvR,BSU13800,,,,,
ykvS,BSU13810,,,,,
ykzS,BSU13819,,,,,
ykvT,BSU13820,,,,,
ykvU,BSU13830,,,,,
stoA,BSU13840,,spoIVH,,,
zosA,BSU13850,,ykvW,,,
ykvY,BSU13860,,,,,
ykvZ,BSU13870,,,,,
glcT,BSU13880,,ykwA,,,
ptsG,BSU13890,,crrptsX,,,
ptsH,BSU13900,,,,,
ptsI,BSU13910,,,,,
splA,BSU13920,,ykxI,,,
splB,BSU13930,,spl,,,
ykwB,BSU13940,,,,,
mcpC,BSU13950,,prg71,,,
ykwC,BSU13960,,,,,
ykwD,BSU13970,,,,,
pbpH,BSU13980,,ykuA,,,
kinA,BSU13990,,gsiC,scoD,spoIIF,spoIIJ
dapX,BSU14000,,patA,uat,,
ykzT,BSU14009,,,,,
cheV,BSU14010,,,,,
ykyB,BSU14020,,,,,
ykuC,BSU14030,,,,,
ykuD,BSU14040,,,,,
ykuE,BSU14050,,,,,
fadH,BSU14060,,ykuF,,,
fadG,BSU14071,,ykuG,,,
ykzU,BSU14072,,,,,
ykuH,BSU14080,,,,,
ykuI,BSU14090,,,,,
ykuJ,BSU14100,,,,,
ykuK,BSU14110,,,,,
ykzF,BSU14120,,,,,
ykuL,BSU14130,,,,,
ykuM,BSU14140,,,,,
ykuN,BSU14150,,,,,
ykuO,BSU14160,,,,,
ykuP,BSU14170,,,,,
dapH,BSU14180,,ykuQ,,,
ykuR,BSU14190,,dapL,,,
ykuS,BSU14200,,,,,
ykuT,BSU14210,,,,,
ykuU,BSU14220,,,,,
ykuV,BSU14230,,,,,
rok,BSU14240,,ykuW,,,
cse15,BSU14250,,yknT,,,
mobA,BSU14260,,,,,
moeB,BSU14270,,,,,
moeA,BSU14280,,,,,
mobB,BSU14290,,,,,
moaE,BSU14300,,,,,
moaD,BSU14310,,,,,
yknU,BSU14320,,,,,
yknV,BSU14330,,,,,
yknW,BSU14340,,,,,
yknX,BSU14350,,,,,
yknY,BSU14360,,,,,
yknZ,BSU14370,,,,,
fruR,BSU14380,,,,,
fruK,BSU14390,,fruB,,,
fruA,BSU14400,,,,,
sipT,BSU14410,,,,,
ykoA,BSU14420,,,,,
ykpA,BSU14430,,,,,
ykpB,BSU14440,,,,,
ampS,BSU14450,,,,,
ykpC,BSU14460,,,,,
mreBH,BSU14470,,,,,
abh,BSU14480,,ylxT,yzaA,,
kinC,BSU14490,,mskA,ssb,,
ykqA,BSU14500,,ylxU,yzaB,,
ktrC,BSU14510,,ykqB,ylxV,yzaC,
adeC,BSU14520,,ade,yzaD,,
rnjA,BSU14530,,ykqC,,,
rpoY,BSU14540,,ykzG,,,
ykrA,BSU14550,,,,,
defB,BSU14560,,ykrB,,,
ykzV,BSU14569,,,,,
ykyA,BSU14570,,ykrC,,,
pdhA,BSU14580,,aceA,,,
pdhB,BSU14590,,aceB,,,
pdhC,BSU14600,,aceC,,,
pdhD,BSU14610,,aceD,citL,,
slp,BSU14620,,pal,,,
ykzW,BSU14629,,,,,
speA,BSU14630,,cad,,,
yktA,BSU14640,,,,,
yktB,BSU14650,,,,,
ykzI,BSU14660,,,,,
suhB,BSU14670,,yktC,,,
ykzC,BSU14680,,,,,
yktD,BSU14690,,,,,
nprE,BSU14700,,,,,
ylaA,BSU14710,,,,,
ylaB,BSU14720,,,,,
ylaC,BSU14730,,,,,
ylaD,BSU14740,,,,,
ylaE,BSU14750,,,,,
ylaF,BSU14760,,,,,
bipA,BSU14770,,ylaG,,,
ylaH,BSU14780,,,,,
ylaI,BSU14790,,,,,
ylaJ,BSU14800,,,,,
ylaK,BSU14810,,,,,
ylaL,BSU14820,,,,,
glsA2,BSU14830,,ylaM,,,
ylaN,BSU14840,,,,,
ftsW,BSU14850,,ylaO,,,
pyc,BSU14860,,pycA,ylaP,,
ctaA,BSU14870,,,,,
ctaB2,BSU14880,,,,,
ctaC,BSU14890,,,,,
ctaD,BSU14900,,,,,
ctaE,BSU14910,,,,,
ctaF,BSU14920,,,,,
ctaG,BSU14930,,,,,
ylbA,BSU14940,,,,,
ylbB,BSU14950,,,,,
ylbC,BSU14960,,,,,
ylbD,BSU14970,,,,,
ylbE,BSU14980,,,,,
ylbF,BSU14990,,,,,
ylbG,BSU15000,,,,,
ylbH,BSU15010,,,,,
coaD,BSU15020,,ylbI,,,
ylbJ,BSU15030,,,,,
ylbK,BSU15040,,,,,
ylbL,BSU15050,,,,,
tmcAL,BSU15060,,ylbM,,,
ylzH,BSU15069,,,,,
ylbN,BSU15070,,,,,
rpmF,BSU15080,,,,,
ylbO,BSU15090,,,,,
ylbP,BSU15100,,,,,
panE,BSU15110,,apbA,ylbQ,,
bshC,BSU15120,,yllA,,,
mraZ,BSU15130,,yllB,,,
rsmH,BSU15140,,mraW,yllC,ylxA,
ftsL,BSU15150,,yllD,ylxB,,
pbpB,BSU15160,,,,,
spoVD,BSU15170,,,,,
murE,BSU15180,,,,,
mraY,BSU15190,,,,,
murD,BSU15200,,,,,
spoVE,BSU15210,,,,,
murG,BSU15220,,,,,
murB,BSU15230,,ylxC,,,
divIB,BSU15240,,dds,,,
ylxW,BSU15250,,,,,
ylxX,BSU15260,,,,,
sbp,BSU15270,,,,,
ftsA,BSU15280,,,,,
ftsZ,BSU15290,,,,,
bpr,BSU15300,,bpf,,,
spoIIGA,BSU15310,,,,,
sigE,BSU15320,,spoIIGB,,,
sigG,BSU15330,,spoIIIG,,,
ylmA,BSU15340,,,,,
ylmB,BSU15350,,thiQ,,,
ylmC,BSU15360,,,,,
ylmD,BSU15370,,,,,
ylmE,BSU15380,,,,,
sepF,BSU15390,,ylmF,,,
ylmG,BSU15400,,,,,
ylmH,BSU15410,,,,,
divIVA,BSU15420,,ylmJ,,,
ileS,BSU15430,,,,,
ylyA,BSU15440,,ylmK,,,
lspA,BSU15450,,lsp,,,
ylyB,BSU15460,,ylmL,,,
pyrR,BSU15470,,,,,
pyrP,BSU15480,,,,,
pyrB,BSU15490,,,,,
pyrC,BSU15500,,,,,
pyrAA,BSU15510,,,,,
pyrAB,BSU15520,,,,,
pyrK,BSU15530,,pyrDB,pyrDII,pyrZ,ylxD
pyrD,BSU15540,,pyrDA,pyrDI,,
pyrF,BSU15550,,,,,
pyrE,BSU15560,,pyrX,,,
cysH,BSU15570,,,,,
cysP,BSU15580,,ylnA,,,
sat,BSU15590,,ylnB,,,
cysC,BSU15600,,ylnC,,,
sumT,BSU15610,,ylnD,,,
sirB,BSU15620,,ylnE,,,
sirC,BSU15630,,ylnF,,,
rqcH,BSU15640,,yloA,,,
yloB,BSU15650,,,,,
yloC,BSU15660,,,,,
remA,BSU15670,,ylzA,,,
gmk,BSU15680,,yloD,,,
rpoZ,BSU15690,,yloH,,,
coaBC,BSU15700,,yloI,,,
priA,BSU15710,,yloJ,,,
defA,BSU15720,,def,yloK,,
fmt,BSU15730,,yloL,,,
rsmB,BSU15740,,sun,yloM,,
rlmN,BSU15750,,yloN,,,
prpC,BSU15760,,yloO,,,
prkC,BSU15770,,yloP,,,
rsgA,BSU15780,,cpgA,engC,yloQ,
