geneP,locus_tag,locus_tag2,gene1,gene3,gene4,gene5
cysK,BSU00730,,,,,
pabB,BSU00740,,pab,,,
pabA,BSU00750,,trpG,,,
pabC,BSU00760,,,,,
sul,BSU00770,,,,,
folB,BSU00780,,folA,yacE,,
folK,BSU00790,,,,,
yazB,BSU00800,,,,,
dus1,BSU00810,,yacF,,,
lysS,BSU00820,,,,,
ctsR,BSU00830,,yacG,,,
mcsA,BSU00840,,yacH,,,
mcsB,BSU00850,,yacI,,,
clpC,BSU00860,,mecB,,,
radA,BSU00870,,orf5,sms,yacJ,
disA,BSU00880,,comY,orf6,yacK,
yacL,BSU00890,,,,,
ispD,BSU00900,,yacM,,,
ispF,BSU00910,,yacN,,,
gltX,BSU00920,,,,,
cysE,BSU00930,,cysA,,,
cysS,BSU00940,,spnA,,,
mrnC,BSU00950,,yazC,,,
yacO,BSU00960,,,,,
yacP,BSU00970,,,,,
sigH,BSU00980,,spo0H,,,
rpmGB,BSU00990,,rpmG,rpmG2,,
secE,BSU01000,,,,,
nusG,BSU01010,,,,,
rplK,BSU01020,,relC,tsp6,,
rplA,BSU01030,,,,,
rplJ,BSU01040,,,,,
rplL,BSU01050,,,,,
ybxB,BSU01060,,ybaA,,,
rpoB,BSU01070,,crsE,rfm,,
rpoC,BSU01080,,lpm,std,,
rplGB,BSU01090,,ybaB,ybxF,,
rpsL,BSU01100,,fun,strA,,
rpsG,BSU01110,,,,,
fusA,BSU01120,,fus,,,
tuf,BSU01130,,tufA,,,
ybaC,BSU01140,,,,,
rpsJ,BSU01150,,tetA,,,
rplC,BSU01160,,,,,
rplD,BSU01170,,,,,
rplW,BSU01180,,,,,
rplB,BSU01190,,,,,
rpsS,BSU01200,,,,,
rplV,BSU01210,,,,,
rpsC,BSU01220,,,,,
rplP,BSU01230,,,,,
rpmC,BSU01240,,,,,
rpsQ,BSU01250,,,,,
rplN,BSU01260,,,,,
rplX,BSU01270,,,,,
rplE,BSU01280,,,,,
rpsN1,BSU01290,,rpsN,rpsNA,rpsZ,
rpsH,BSU01300,,,,,
rplF,BSU01310,,,,,
rplR,BSU01320,,,,,
rpsE,BSU01330,,spcA,,,
rpmD,BSU01340,,,,,
rplO,BSU01350,,,,,
secY,BSU01360,,,,,
adk,BSU01370,,,,,
map,BSU01380,,,,,
ybzG,BSU01389,,,,,
infA,BSU01390,,,,,
rpmJ,BSU01400,,,,,
rpsM,BSU01410,,,,,
rpsK,BSU01420,,,,,
rpoA,BSU01430,,,,,
rplQ,BSU01440,,,,,
ecfA,BSU01450,,cbiO1,ybaD,,ybxA
ecfAB,BSU01460,,cbiO2,ecfA,,ybaE
ecfT,BSU01470,,ybaF,,,
truA,BSU01480,,ybaH,,,
rplM,BSU01490,,,,,
rpsI,BSU01500,,,,,
ybaJ,BSU01510,,,,,
ybaK,BSU01520,,ybxH,,,
cwlD,BSU01530,,,,,
salA,BSU01540,,mrp,rec233,ybaL,ybxI
gerD,BSU01550,,,,,
kbaA,BSU01560,,ybaM,ybxC,,
pdaB,BSU01570,,ybaN,ybxG,,
ybaR,BSU01580,,,,,
ybaS,BSU01590,,,,,
ybbA,BSU01600,,,,,
feuC,BSU01610,,,,,
feuB,BSU01620,,,,,
feuA,BSU01630,,,,,
btr,BSU01640,,ybbB,yzbC,,
ybbC,BSU01650,,yzbB,,,
nagZ,BSU01660,,ybbD,yzbA,,
amiE,BSU01670,,ybbE,,,
ybbF,BSU01680,,,,,
ybbH,BSU01690,,,,,
murQ,BSU01700,,ybbI,,,
ybbJ,BSU01710,,,,,
ybbK,BSU01720,,,,,
sigW,BSU01730,,ybbL,,,
rsiW,BSU01740,,ybbM,,,
cdaA,BSU01750,,ybbP,,,
cdaR,BSU01760,,ybbR,,,
glmM,BSU01770,,ybbT,,,
glmS,BSU01780,,gcaA,ybxD,,
alkA,BSU01800,,,,,
adaA,BSU01810,,,,,
adaB,BSU01820,,,,,
ndhF,BSU01830,,ybxE,,,
ybcC,BSU01845,,,,,
ybcF,BSU01860,,,,,
ybcH,BSU01870,,,,,
ybcI,BSU01880,,,,,
ybzH,BSU01889,,,,,
ybcL,BSU01890,,,,,
ybcM,BSU01900,,,,,
skfA,BSU01910,,ybcO,,,
skfB,BSU01920,,ybcP,ybcQ,,
skfC,BSU01935,,skfD,ybcS,ybcT,
skfE,BSU01950,,ybdA,,,
skfF,BSU01960,,ybdB,,,
skfG,BSU01970,,ybdD,,,
skfH,BSU01980,,ybdE,,,
ybdG,BSU01990,,ybdH,,,
ybdJ,BSU02000,,,,,
ybdK,BSU02010,,,,,
ybzI,BSU02019,,,,,
ybdM,BSU02030,,,,,
ybdN,BSU02040,,,,,
ybdO,BSU02050,,,,,
ybxG,BSU02060,,ybdP,,,
csgA,BSU02070,,,,,
ybxH,BSU02080,,,,,
ybxI,BSU02090,,ybdS,,,
cypC,BSU02100,,CYP152A1,,,
ybyB,BSU02110,,,,,
ybeC,BSU02120,,,,,
glpQ,BSU02130,,ybeD,,,
glpT,BSU02140,,ybeE,,,
ybeF,BSU02150,,,,,
